SOURCE,MAX_SIMILARITY,MAPPABLE,LOINC_1,TEXT_1,SCORE_1,LOINC_2,TEXT_2,SCORE_2,LOINC_3,TEXT_3,SCORE_3,LOINC_4,TEXT_4,SCORE_4,LOINC_5,TEXT_5,SCORE_5
pt blood,-0.24274671,True,4575-7,hemoglobin e/hemoglobin.total in blood,-0.24274671,60079-1,germanium [mass/volume] in blood,-0.2562373876571655,44921-5,hemoglobin d/hemoglobin.total in blood by hplc,-0.2572321891784668,722-9,hemoglobin [mass/volume] in pleural fluid,-0.2680031657218933,44923-1,hemoglobin s/hemoglobin.total in blood by hplc,-0.2727976441383362
"osmolality, measured blood",-0.35385245,False,UNMAPPABLE,No suitable LOINC match found,-0.35385245,,,,,,,,,,,,
eosinophils ascites,-0.39337313,False,UNMAPPABLE,No suitable LOINC match found,-0.39337313,,,,,,,,,,,,
hepatitis a virus antibody blood,-0.1502437,True,63557-3,hepatitis b virus surface ag [units/volume] in serum or plasma by immunoassay,-0.1502437,24113-3,hepatitis b virus core igm ab [presence] in serum or plasma by immunoassay,-0.1579376459121704,83100-8,hepatitis b virus core igg+igm ab [presence] in serum or plasma by immunoassay,-0.1657721996307373,51913-2,hepatitis a virus igg+igm ab [presence] in serum,-0.16989654302597046,22321-4,hepatitis b virus e ab [units/volume] in serum,-0.17402660846710205
"reticulocyte count, absolute blood",-0.33359712,True,889-6,blood group antibodies identified in blood product unit,-0.33359712,58471-4,erythrocytes.pitted/erythrocytes.total in red blood cells,-0.34482330083847046,35040-5,lymphocytes immunoblastic [#/volume] in blood,-0.35147929191589355,34920-9,lymphocytes immunoblastic/leukocytes in blood,-0.3776439428329468,42504-1,hepatitis b virus surface ab [presence] in cerebral spinal fluid,-0.37766599655151367
"wbc, pleural pleural",-0.32949412,True,30408-9,leukocytes other/leukocytes in pleural fluid,-0.32949412,30406-3,leukocytes other [#/volume] in blood,-0.3737928867340088,33370-8,variant lymphocytes/leukocytes in pleural fluid,-0.3863990306854248,965-4,c sup(x) ag [presence] on red blood cells from donor,-0.3926236629486084,33373-2,blasts/leukocytes in pleural fluid,-0.40274447202682495
factor ix blood,-0.30415338,True,74391-4,baclofen [mass/volume] in blood,-0.30415338,2998-3,thiamine [mass/volume] in blood,-0.30979275703430176,96354-6,platelets large [#/volume] in blood by automated count,-0.31828004121780396,42908-4,hematocrit [volume fraction] of capillary blood by calculation,-0.33588480949401855,3134-4,xylose [mass/volume] in blood,-0.3367864489555359
blasts blood,-0.29145038,True,51038-8,cd11b blasts/blasts in blood,-0.29145038,13844-6,cd34 blasts/blasts in blood,-0.32027584314346313,51073-5,cd135 blasts [units/volume] in blood,-0.3451305627822876,5671-3,lead [mass/volume] in blood,-0.36651813983917236,13840-4,cd19 blasts/blasts in blood,-0.3837122321128845
factor vii blood,-0.27359957,True,3213-6,coagulation factor viii ag [units/volume] in platelet poor plasma by immunoassay,-0.27359957,42908-4,hematocrit [volume fraction] of capillary blood by calculation,-0.3333754539489746,49865-9,coagulation factor viii activity actual/normal in platelet poor plasma by chromogenic method,-0.3421933054924011,27814-3,coagulation factor vii+coagulation factor x actual/normal in platelet poor plasma by coagulation assay,-0.3517000675201416,51639-3,acanthocytes/1000 erythrocytes in blood by light microscopy,-0.3564035892486572
wbc casts urine,-0.24218303,True,12360-4,barbital [presence] in urine,-0.24218303,32079-6,gold [moles/volume] in urine,-0.25269627571105957,53285-3,rbc casts [#/volume] in urine by computer assisted method,-0.2664627432823181,19353-2,barbital [presence] in urine by screen method,-0.26858198642730713,105906-2,blood [presence] in urine,-0.2692009210586548
sex hormone binding globulin blood,-0.31438923,True,77627-8,hbb gene mutations found [identifier] in blood or tissue by sequencing nominal,-0.31438923,54043-5,hedis 2009 codes to identify sexually active women (chl-b),-0.3223687410354614,57818-7,hedis 2010 codes to identify sexually active women (chl-b),-0.3291283845901489,35379-7,hnpcc genes mutations found [identifier] in blood or tissue by molecular genetics method nominal,-0.33787286281585693,101964-5,hps3 gene targeted mutation analysis in blood or tissue by molecular genetics method,-0.3405219316482544
"bicarbonate, pleural pleural",-0.2398355,True,22735-5,bicarbonate [moles/volume] in specimen,-0.2398355,32056-4,butalbital [moles/volume] in urine,-0.3136305809020996,105908-8,bacteria [#/area] in urine sediment,-0.3232996463775635,105109-3,coarse granular casts [#/area] in urine sediment,-0.331807017326355,50882-0,molybdenum [moles/volume] in urine,-0.3325396776199341
basophils other body fluid,-0.20384258,True,28543-7,basophils/leukocytes in body fluid,-0.20384258,35074-4,basophils [#/volume] in synovial fluid,-0.27745944261550903,106916-0,basophils/cells in bronchoalveolar lavage,-0.31783682107925415,30180-4,basophils/leukocytes in blood,-0.33783990144729614,17833-5,basophils/leukocytes in synovial fluid,-0.34432321786880493
"rbc, other fluid other body fluid",-0.34831673,True,9044-9,urinary bladder irrigation tube site,-0.34831673,53285-3,rbc casts [#/volume] in urine by computer assisted method,-0.3557470440864563,80386-6,bladder tumor ag [presence] in urine by rapid immunoassay,-0.3731297254562378,75751-8,rf guidance for drainage of abscess and placement of chest tube of pleural space - left,-0.3812183141708374,42287-3,ct guidance for drainage and placement of drainage catheter of retroperitoneum,-0.3823860287666321
"cd8 cells, percent blood",-0.22396815,True,16107-5,cd8+hla-dr+ cells [#/volume] in blood,-0.22396815,62252-2,cd79 cells/cells in blood,-0.2296648621559143,17197-5,cd79b cells/cells in blood,-0.25094228982925415,17182-7,cd63 cells/cells in blood,-0.25409775972366333,17213-0,cd98 cells/cells in blood,-0.26103222370147705
factor ii blood,-0.22035307,True,2998-3,thiamine [mass/volume] in blood,-0.22035307,28071-9,e selectin [mass/volume] in blood,-0.24887293577194214,74391-4,baclofen [mass/volume] in blood,-0.2537316679954529,71872-6,hemoglobin a2/hemoglobin.total [pure mass fraction] in blood,-0.262195348739624,4575-7,hemoglobin e/hemoglobin.total in blood,-0.2626718282699585
hepatitis a virus igm antibody blood,-0.12632608,True,63557-3,hepatitis b virus surface ag [units/volume] in serum or plasma by immunoassay,-0.12632608,24113-3,hepatitis b virus core igm ab [presence] in serum or plasma by immunoassay,-0.13127976655960083,83100-8,hepatitis b virus core igg+igm ab [presence] in serum or plasma by immunoassay,-0.1329662799835205,95142-6,hepatitis a virus igm panel - serum,-0.1374865174293518,51913-2,hepatitis a virus igg+igm ab [presence] in serum,-0.14592772722244263
broad casts urine,-0.15665817,True,105086-3,granular casts [#/area] in urine,-0.15665817,12360-4,barbital [presence] in urine,-0.19222807884216309,16451-7,beryllium [presence] in urine,-0.21333825588226318,105109-3,coarse granular casts [#/area] in urine sediment,-0.23585009574890137,21266-2,ethion [mass/volume] in urine,-0.24015659093856812
nrbc cerebrospinal fluid (csf),-0.25719637,True,22642-3,tyrosine [moles/volume] in cerebral spinal fluid,-0.25719637,26602-3,tryptophan [moles/volume] in cerebral spinal fluid,-0.2685956358909607,28560-1,neuronal thread protein [mass/volume] in cerebral spinal fluid,-0.29020535945892334,75048-9,tetrahydrofolate [moles/volume] in cerebral spinal fluid,-0.2909528613090515,51402-6,cd81 cells/cells in cerebral spinal fluid,-0.2952159643173218
24 hr creatinine urine,-0.053556025,True,25886-3,creatinine [moles/volume] in 24 hour urine,-0.053556025,16689-2,creatinine [mass/time] in 48 hour urine,-0.09200817346572876,49812-1,2-hydroxyglutarate/creatinine [molar ratio] in 24 hour urine,-0.09390348196029663,13820-6,urate/creatinine [mass ratio] in 24 hour urine,-0.10073435306549072,56676-0,citrulline/creatinine [ratio] in 24 hour urine,-0.10542863607406616
nonsquamous epithelial cell urine,-0.22161412,True,105117-6,epithelial cells.squamous [#/area] in urine sediment,-0.22161412,50936-4,vanadium [moles/volume] in urine,-0.24266165494918823,105113-5,epithelial cells [#/area] in urine sediment,-0.25050485134124756,45015-5,adenosine monophosphate.cyclic [moles/volume] in urine --baseline,-0.2528565526008606,40483-0,phosphate crystals amorphous [#/area] in urine sediment by microscopy low power field,-0.2547895908355713
salicylate blood,-0.1886993,True,59735-1,salicylamide [mass/volume] in blood,-0.1886993,38185-5,beta galactosidase [presence] in blood,-0.3791271448135376,104798-4,basophilic stippling [presence] in blood,-0.3791366219520569,31768-5,chlamydia trachomatis ag [presence] in blood,-0.40311598777770996,51187-3,cd15 ag [presence] in blood by immune stain,-0.4104112386703491
epithelial cells urine,-0.105496466,True,105113-5,epithelial cells [#/area] in urine sediment,-0.105496466,13653-1,epithelial cells.renal [#/volume] in urine sediment,-0.11336636543273926,105117-6,epithelial cells.squamous [#/area] in urine sediment,-0.12931078672409058,104534-3,consistency of urine,-0.16833311319351196,88848-7,microbiology cnamts panel - urine,-0.1685042381286621
"hematocrit, csf cerebrospinal fluid (csf)",-0.3587554,False,UNMAPPABLE,No suitable LOINC match found,-0.3587554,,,,,,,,,,,,
"urine crystals, other urine",-0.13195771,True,80333-8,other elements in urine,-0.13195771,104534-3,consistency of urine,-0.1418793797492981,50936-4,vanadium [moles/volume] in urine,-0.15116620063781738,5598-8,bismuth [mass/volume] in urine,-0.15330684185028076,50909-1,silver [moles/volume] in urine,-0.1713520884513855
rdw blood,-0.30609208,True,34530-6,abo and rh group panel - blood,-0.30609208,24318-8,manual differential panel - blood,-0.33143603801727295,13844-6,cd34 blasts/blasts in blood,-0.35141831636428833,51038-8,cd11b blasts/blasts in blood,-0.3538724184036255,13840-4,cd19 blasts/blasts in blood,-0.3553786277770996
"uric acid, urine urine",-0.14635807,True,1716-0,acidity.titratable [mass/volume] in urine,-0.14635807,80333-8,other elements in urine,-0.1661006212234497,44343-2,organic acids/creatinine [mass ratio] in urine,-0.1722767949104309,105908-8,bacteria [#/area] in urine sediment,-0.17445409297943115,32079-6,gold [moles/volume] in urine,-0.17694193124771118
tricyclic antidepressant screen blood,-0.32766038,True,28378-8,depression [hiv-ssc],-0.32766038,33832-7,lymphocytes immunoblastic [#/volume] in blood by manual count,-0.3730123043060303,33836-8,malignant cells [#/volume] in blood by manual count,-0.37696754932403564,88059-1,acetaminophen [presence] in blood by screen method,-0.3809383511543274,80136-5,antihistamines [presence] in blood by screen method,-0.3874496817588806
cancer antigen 27.29 blood,-0.3329547,True,105906-2,blood [presence] in urine,-0.3329547,51162-6,cd34 blasts/blasts in bone marrow,-0.3521767258644104,80513-5,mr bone marrow w contrast iv,-0.35231220722198486,715-3,normoblasts [#/volume] in blood,-0.35731232166290283,100553-7,blood banking and transfusion medicine hospital progress note,-0.36378371715545654
eosinophils blood,-0.155182,True,26450-7,eosinophils/leukocytes in blood,-0.155182,30180-4,basophils/leukocytes in blood,-0.26653480529785156,35055-3,histiocytes/leukocytes in body fluid,-0.29913103580474854,28543-7,basophils/leukocytes in body fluid,-0.3265419006347656,99397-2,siderocytes.type 2/erythroblasts in blood or marrow by prussian blue stain,-0.32844066619873047
hemogloblin a blood,-0.15517306,True,4575-7,hemoglobin e/hemoglobin.total in blood,-0.15517306,44923-1,hemoglobin s/hemoglobin.total in blood by hplc,-0.15824449062347412,44921-5,hemoglobin d/hemoglobin.total in blood by hplc,-0.15988373756408691,4587-2,hemoglobin h/hemoglobin.total in blood by electrophoresis,-0.19322001934051514,24469-9,hemoglobin xxx/hemoglobin.total in blood by electrophoresis,-0.1996578574180603
hypersegmented neutrophils blood,-0.25350463,True,34199-0,neutrophils.hypersegmented [presence] in blood by automated count,-0.25350463,26508-2,band form neutrophils/leukocytes in blood,-0.27594369649887085,40654-6,neutrophils.hypogranulated [presence] in blood by light microscopy,-0.28872406482696533,77627-8,hbb gene mutations found [identifier] in blood or tissue by sequencing nominal,-0.3007911443710327,89345-3,cd19+igm+ cells [#/volume] in blood,-0.30687564611434937
Blood Culture Hold,-0.25805628,True,34530-6,abo and rh group panel - blood,-0.25805628,24318-8,manual differential panel - blood,-0.2872568964958191,93951-2,rh antigens and k ag panel - blood,-0.31974583864212036,69552-8,thromboelastography after addtion of heparinase panel - blood,-0.3477959632873535,20467-7,blood bank alert,-0.34969472885131836
PROBLEM SPECIMEN,-0.38480282,False,UNMAPPABLE,No suitable LOINC match found,-0.38480282,,,,,,,,,,,,
"AFP, Maternal Screen",-0.35877174,False,UNMAPPABLE,No suitable LOINC match found,-0.35877174,,,,,,,,,,,,
CD20 Absolute Count,-0.42659414,False,UNMAPPABLE,No suitable LOINC match found,-0.42659414,,,,,,,,,,,,
Kappa,-0.53181714,False,UNMAPPABLE,No suitable LOINC match found,-0.53181714,,,,,,,,,,,,
CD71,-0.30341786,True,54488-2,pimeloylcarnitine (c7-dc)/creatinine [molar ratio] in urine,-0.30341786,4508-8,complement c7 [mass/volume] in serum or plasma,-0.30425453186035156,9372-4,cotinine [mass/volume] in specimen,-0.3210046887397766,51011-5,cd3-cd16+cd56+cd244+ cells/cells in specimen,-0.33854126930236816,20608-6,cd41 cells/cells in specimen,-0.3392823338508606
Myelocytes,-0.31057596,True,43283-1,myeloid cells/cells in tissue,-0.31057596,42926-6,myeloid cells/cells in blood,-0.3248301148414612,42925-8,myeloid cells/cells in body fluid,-0.37004947662353516,35017-3,myelocytes [#/volume] in cerebral spinal fluid,-0.4206412434577942,51718-5,normoblasts polychromatophilic/cells in blood by microscopy,-0.4304528832435608
"Joint Crystals, Shape",-0.3289947,True,53319-0,crystals [presence] in urine by automated,-0.3289947,59839-1,urate crystals [presence] in tissue by light microscopy,-0.3379185199737549,99906-0,urate crystals amorphous [#/area] in urine sediment by computer assisted method,-0.36483967304229736,45385-2,hippurate crystals [#/area] in urine sediment by microscopy low power field,-0.3660587668418884,53331-5,crystals.amorphous [#/volume] in urine by computer assisted method,-0.36739790439605713
MYELOS,-0.60698146,False,UNMAPPABLE,No suitable LOINC match found,-0.60698146,,,,,,,,,,,,
Inpatient Hematology/Oncology Smear,-0.27343303,True,34780-7,hematology+medical oncology note,-0.27343303,83580-1,hematology+medical oncology nurse outpatient note,-0.3032044768333435,88648-1,hematology+medical oncology parenteral therapy note,-0.3157097101211548,34779-9,hematology+medical oncology consult note,-0.31707245111465454,68751-7,pediatric hematology-oncology history and physical note,-0.3351781964302063
RBC Clumps,-0.38856632,False,UNMAPPABLE,No suitable LOINC match found,-0.38856632,,,,,,,,,,,,
STDY HOLD,-0.39131814,False,UNMAPPABLE,No suitable LOINC match found,-0.39131814,,,,,,,,,,,,
CD16/56%,-0.38801634,False,UNMAPPABLE,No suitable LOINC match found,-0.38801634,,,,,,,,,,,,
Epinepherine,-0.43104643,False,UNMAPPABLE,No suitable LOINC match found,-0.43104643,,,,,,,,,,,,
Promyelocytes,-0.23400784,True,34996-9,promyelocytes [#/volume] in body fluid,-0.23400784,34997-7,promonocytes [#/volume] in body fluid,-0.2597624659538269,17799-8,promyelocytes/leukocytes in body fluid,-0.27025169134140015,45172-4,purkinje cells ab [units/volume] in serum by immunofluorescence,-0.359976589679718,104704-2,acanthocytes [presence] in blood,-0.3699684143066406
VOIDED SPECIMEN,-0.32839388,True,54511-1,behavior,-0.32839388,12360-4,barbital [presence] in urine,-0.34116578102111816,7464-1,lime ige ab [units/volume] in serum,-0.3600381016731262,13359-5,character of semen,-0.3608989119529724,26973-8,beta aminoisobutyrate [moles/volume] in urine,-0.3659015893936157
Reptilase Time Control,-0.38021642,False,UNMAPPABLE,No suitable LOINC match found,-0.38021642,,,,,,,,,,,,
"Chloride, CSF",-0.37776685,False,UNMAPPABLE,No suitable LOINC match found,-0.37776685,,,,,,,,,,,,
Temperature,-0.34435368,True,43741-8,temperature of semen,-0.34435368,60832-3,room temperature,-0.40301454067230225,65643-9,relative humidity,-0.4579986333847046,99346-9,temperature taken reporting period,-0.4659011960029602,59910-0,ibuprofen [moles/volume] in urine,-0.517946183681488
Promyelocytes,-0.23400784,True,34996-9,promyelocytes [#/volume] in body fluid,-0.23400784,34997-7,promonocytes [#/volume] in body fluid,-0.2597624659538269,17799-8,promyelocytes/leukocytes in body fluid,-0.27025169134140015,45172-4,purkinje cells ab [units/volume] in serum by immunofluorescence,-0.359976589679718,104704-2,acanthocytes [presence] in blood,-0.3699684143066406
Red Top Hold,-0.49236512,False,UNMAPPABLE,No suitable LOINC match found,-0.49236512,,,,,,,,,,,,
"Hematocrit, Pleural",-0.30280733,True,96665-5,hla-drb1 [type] in donor,-0.30280733,96627-5,hla-a [type] in donor,-0.3453875780105591,35747-5,hydrogen ion [moles/volume] in arterial blood,-0.348579466342926,96621-8,hla-c [type] in donor by high resolution,-0.3580493927001953,4920-5,hla-dpw1 [presence] in donor,-0.3660922646522522
CD103,-0.2853592,True,2206-1,"dicarboxylate, c6-c8-c10 [mass/volume] in serum",-0.2853592,52876-0,cd1a cells/cells in tissue,-0.3100370764732361,4508-8,complement c7 [mass/volume] in serum or plasma,-0.32065266370773315,9372-4,cotinine [mass/volume] in specimen,-0.3240726590156555,40884-9,cd19+cd103+ cells/cells in tissue,-0.33135128021240234
"Miscellaneous, Body Fluid",-0.40827173,False,UNMAPPABLE,No suitable LOINC match found,-0.40827173,,,,,,,,,,,,
I,-0.3723992,False,UNMAPPABLE,No suitable LOINC match found,-0.3723992,,,,,,,,,,,,
