ketone urne|ketne urie|mchc blood
urea nitrogen, body fluid other body fluid|quan fluid nitrogen, body urea other body fluid|hiv antibody bloo
other plasma body fluid|lasma ther body fluid|blood theophylline
blood cd16/56|blood d16/56|rbc, pleua pleural
ammonium biurate urine|mmonium biurate uie|cd7 fluid body other
albumin scites ascites|albumin, ascites ascites quant|cd3 cells, blood percent
blood cd20|cd20 blood|indexbood thyroxine (t4) point in time calculated
teardrop cels blood|teardrop cells blood|glucose, peural leural
absolute cd4 blood count|absolute cd4 count blood|eoinophil scit leuc
amylase, ascites ascites|ascites ascites amylase, gastro|phenytoin, blood free percent
glucose, ascites ascites|level ascites ascites glucos,|blood urine
base bld exess bld|base excess blood|level bld digoxin
urne ketone|ketone urne|s hemogloblin blood
cd1c blood|blood cd11c|cortisol blood
bld point in time bands|bands whole bld bld|cell pasma ascites
anisocytosis blood|lm anisocytosis blood|urine urine immunofixation,
albumin, asci asctes|albumin, ascites ascites|une ft ne bodies
functional fibrinogen, blood|functional fibrinogen, blood|qnt ca-125 bld
mnocytes bod|blood monocytes|blood sodium ser
products degradation fibrin blood|fibrin products degradation blood|ntprobnp bld
blood inr(pt)|blood inr(pt)|blood agesiu plsm
hyphenatedyeast rine|hyphenated yeast urine|drugs of abuse methadone, urine urine
cerebrospinal csf pep, fluid (csf)|pep, csf cerebrospinal fluid (csf)|hematocrit blood
cyclosporin blood|cyclosporin blood|gravity specific urine
cd5 blood|blood cd5|opiate pt screen, urine urine
acetaminophen bld|blood cetaminophe addiction|urine h
othe cd56 bdy flid|cd56 other fluid body|immunofiatin blood
hemosiderin pr urine|hemosiderin urine|bansblod
ascites ascites wbc,|wbc, ascites ascites ascitic fluid|blood cd14
calculated tbg blood serum or plasma|calculated blood tbg|hepatitis b surface antibody blood
urine casts, other urine|urine csts,oher rne|urine eosinophils
synovial fluid fluid joint macrophage|joint fld macropha joint fluid|urine crystals, urine other
cd15 other fluid body|cd15 other body fluid|eelial cells urine
bone cd19 marrow|cd19 marrow bone|blood parasite id smear blood
pleural pleural chloride,|chloride, pleural pleural|bood amylase
pencil bld cell cells|pencil cells blood|absolute count cd4 blood
cd13 lood|cd13 blood|tissue tansglutaminase ab, iga bld protein-glutamine gamma glutamyltransferase
centromere blood|blood centromere|gastn bood
urine yeast|yest uri|lactate dehydrgenase (ld) bld
cell mesothelial ascites|mesothelial cell ascites|degradation fibrin products blood
fragmented blood cells|cells fragmented blood|nrbc cerebrospinal fluid (csf)
elect blood mchc|mchc blood|cd11c bone marrow
uric urine acid, urine|uric aci, uric acid urine urine|anti-smooth muscle antibody aby blood
blasts fluid cerebrospinal (csf)|(cf) cerebrospinal white blood cell fluid blasts|choleserl, hdl choles blod
blood quan ntprobnp|ntprobnp bld|uric urine acid, urine
universallaborders blood potassium|blod ptassium|oter cd1c boy fluid
chc auto bood|haemoglobin mchc blood|transitional epithelial cells urine
othe cd56 bdy flid|cd56 other fluid body|myelocytes cerebrospinal fluid (csf)
ammoium biuate urin|ammonium biurate urine|estimatedfr (mdrdeqution) blood
plasma cells blood|bod ells plama|cholesterol, blood measured ldl,
myelocytes cerebrospinal fluid (csf)|fluid cerebrospinal myelocytes (csf)|amylase bloo catalytic concentration
po2 blood|blood po2 respiratory|ascites ascites sodium,
wbc urine|urie wbc|body mylase, flui otherbodyfuid
magnesium, urine urine|magnesium, quant urine urine|ca125blood
barbiturate screen, urine urine|barbiturat screen, uine urie|blood ptt
bld pulmonary ph|ph blood|glucose, ascites ascites quantitative
marrow bone cd64|cd64 bone marrow|atypical lymphocytes cerebrospinal fluid (csf)
wbc, other fluid other body fluid|wbc, othe luid oter body fluid|cd59 one arow
glucose, csf cerebrospinal fluid (csf)|glucose, csf glucoseur cerebrospinal (csf) fluid|anisocytosis whole bld bld
haemoglobin mchc blood|blood mchc|phosphate, level urine urine
factor blood xiii|xiii factor blood|rbc, oint fluid number concentration join fluid
phosphae,urneurie|urine phospate, urine|fluid other bdy macrophage
aciesasites creatnine,|qnt ascites creatinine, ascites|tissue transglutaminase ab, universallaborders iga bld
nominal eliptocytsblood|tissue boo elliptocytes|serpl phenytoin bld
fragmetd wb cells lood|fragmented cells blood|rbc, rbcs ascites ascites
fluid bod fmc-7other|fmc7 body the fluid|urine yeast hyphenated
creatinine, body fluid other body fluid|creatinine, boy fluidther body fluid|rapamycin blood
point in time heinz body prep blood|einzbody rep lood|sperm urne
flow o2 clin blood|o2 flow lung boo|qualitative acnhocytes blood
marrow be d117|cd117 bone marrow|blood total co2 calculated level
phurine|urie ph|po2 blood
psa rostae specific antien bld|prostate specific quant antigen bld|potassium, whole blood blood
cells mesothelial csf (csf)|mesothelialcells fluid random cerebrspinal (csf)|marrow bone cd11c
blood creatinine|cratinineblood|blod immunoglobuling
hepatits c virus antibodblod|hepatitis c virus antibody blood|glucose, ascites ascites quantitative
crystals bilirbin uine|ilirin cryals uine|hemosiderin urine
hematocrit urine hematology/cell counts|hematocrit urine|glucose, pleural pleural
hepatitis b surface antibody blood|hepatitis b surface antibody blood|fli ody fluid othrbody possum,
triglycerides, chemistry ascites ascites|ascites mass concentration triglycerides, ascites|osmolality, stool stool stool = fecal
bood poikilocyosis|poikilocytosis blood|percent lympcytes, bld lkcs
reticulocyte count, absolute blood|count, reticulocyte absolute blood|hypersegmented neutrophils cerebrospinal fluid (csf)
phenobarbital blood|phenobarbital blood|xii factor blood
chlesterol, body fluid other ody fluid|cholesterol, body fluid other body fluid|urine marijuana
heinz body prep blood|bod heinz bodypre bld|ph urine
anti-neutrophil antbod point in time ctoplasmic blood|cytoplasmic anti-neutrophil antibody blood|plsm bld total calcum
urine yeast|urine yeast|polycromasia blo
lmphocytes, perent wb bld|ercent lymphcyts, blood|haptoglobin blood pt
cd13 bone marrow|bone cd13 marrow|urine leukocytes
blood phenobarbital drug/toxicology|phenobarbital blood|crystals amorphous urine
hyphenated yast ine|hyphenated yeast urine|prolactin blood
fli ody fluid othrbody possum,|potassium oher body flui|fatty urine
blood saturation oxygen|saturaton oygn lood quant|anisocytosis blood
mchc blood|blood mchc|fmc-7 other body fluid
cholesterol ratio (total/hdl) bld|cholesterol ratio (total/hdl) blood|microcytes hematology/cell counts bood
urbilinoen urine|urine urobilinogen|cd1c bone marow
flow o2 clin blood|o2 flow blood|bloo antithrombin
acetaminophen bld|acetaminophen blood|blood smear h/o
uric urn urine acid, urine|uric urine acid, urine|urine leukocytes
hyphenated yast ine|hyphenated yeast urine|haptoglobin blood pt
biliruin urine|urie biirubin|transferrin blood
marijuana urine|urine arijuana marijuana|blood cells, percent cd4
body other cd56 fluid|othe cd56 bdy flid|degradation fibrin products blood
hepatitis b surface antibody blood|b hepatitis surface antibody sr bld|fragmentedcells bld
nrbc joint fluid qnt|nrbc quantitative joint fluid|carboxyhemoglobin blood
24 hr urine ua protein|protein hr 24 urine|bld endocrine glucose
hyphenate rn yeast|hyphenated yeast urine|urine mucous urine
po2, chemistry body fluid otr boy luid|pco2, body fluid other body fluid|factor blood viii
parathyrid hormoe blood|parathyroid quan bld hormone|cd11c fluid body other
chloride, stool stool|chlorid, stool sool|blood cortisol
cd23 body other fluid|body other cd23 flid|d15 blood
tidal volume blood|tidal blood volume|estimated gfr (mdrd equation) blood
ascites monocytes|monocytes ascites|atypical lymphocyes rebrosinlfld (cf) number fraction
blood cd5|blood cd5|c-reactive protein blood
blood basophils|basophils blood|cortisol blood
granulocyte count blood|blood count granulocyte|fluid other body cd41
urine leukocytes|leukocytes urine|cerebrospinal fluid) cerebrosinal flui cerebral spinal fluid plasma
ematocrit, calculated blood|hematocrit, volfr calculated bld|cd16/56 other body fluid
plasma cerebrospinal fluid (csf)|plasmacyte plasma (csf) fluid cerbrospnal|wbc, leuk pleural pleural
monos leural|leuk monos pleural|other cd8 body fluid
mesothelial cell ascites|mesothelial ascites cell|hosphate blood phosphrous
c10 bone marow|cd10 bone marrow|other plasma body fluid
urine fatty|urine fatty|hormoneblod follclestmlatin
eosinophils cerebrospinal fluid (csf)|cerebrospinal eosinophils fluid (csf)|basophils fluid joint
po2, body fluid other body fluid|po2, body fluid other boy flud|lod dhea-sulate
eosinophils leuc ascites|eosinophils ascites|bld serum or plasma alpha-fetoprotein
blood serum potassium|universallaborders blood potassium|lymphocytesascites typical white blood cells
sodium, whole bld quantitative bld|sodiu, whole blood bood|crystals amorphous urine
basophils blood|basophils bld elect|blood etamyelocyes
ld, body fluid other fluid body quantitative|ldbody fuid fluid body other|granular casts urine
degradation fibrin products blood|blood deadation products fibrn|blood albumin
blood prolactin chemistry|blood prolctin|cd55 blood
urineurine manesium,|magnesium, urine urine|eosinophils joint fluid
osmolality, ascites ascites|ascites ascites ascites osmolality,|immunoglobulin a bld plsm
wbc, csf (csf) fluid cerebrospinal|wbc, csf cerebrospinal fluid (csf)|cd14 bone marrow
cholesterol, hdl blood|choleserl, hdl choles blod|bicarbonate blood
urine fat bodies urine|pr urine fat bodies urine|bands joint fluid
henytoin, blood fee perent|phenytoin, percent free blood|uric urn urine acid, urine
bonemarrow cd64|cd64 bone marrow|factor blood viii
cal bld freecalcium|blood calcium free|24 hr calcium urine ur
bld cells young|random cells young blood|bone cd59 marrow
ypical acites lymphocytes|lymphocytesascites typical white blood cells|blod cd20
p2, flid fuidother body body|po2, body fluid other body fluid|urea nitrogen blood
teardrop cells blood|bood cells teardrop|h/o sear blod
fr calculate fee testosterone bld|testosterone, free blood|ystalsurine cysteine
bands other body fluid|bands other fluid body|s, protein functional blood
reticuloct automated coun, red bld corpusles blo|discocytes reticulocyte count, automated blood|carbamazepine blod qnt
sex shbg hormone globulin binding blood|hormone sr sex biing gobulin blood|blood thyroglobulin serplas
fluid other body cd13|cd13 other body fluid|pleural eosinophils
cd19 one mrrw|bone cd19 marrow|lactate dehydrogenase, tumor marker ascites ascites
body other cd56 fluid|cd56 other fluid body|alcium, bood total
cd55 blood|blood cd55|c-reactive qnt protein blod
mucous urine urine|urine mucous urine|ascites plasma
acetaminophen blood|acetaminophen bld|creatinine, boy fluidther body fluid
blood dhea-sulfate|dhea-sulfate blood|urine csts,oher rne
cd33 other fluid body|cd33 fluid body other|hemoglblin hgb s bld
osmolality, measured blood|mesurd osmolality, bood|renal epithelial urine cells
basophils other fluid body|fluid other body basophis|wbc, fluid joint joint fluid
chloride, whole blood blood|cl- hole chloride, blood blood|white bld cells bld
cd4 other fluid body|cd4 body other fluid|blood cd13
ion bindin cpcity, sr tota blood|iron binding capacty, tot blod|hepatitis b surface antibody blood
blood monocytes|mnocytes bod|creatinine bld
urine bicarbonate, urine|bicarbonate, urine urine|screen, addiction opiat urine urine
folate blood|plasma folateblood|blood cd20
ph other body fluid|phothr fluid body|other monos body fluid
cd45 bone marrow|cd45 marrow bone|prot. electrophoresis, urine urine
-dier bloo|blood d-dimer|gravity specific urine
amylas, bod bodies flid other boy fluid|amylase, body fluid other body fluid|c-reactive protein blood
polychromasia bld|polycromasia blo|reticuloct automated coun, red bld corpusles blo
ati-parita cell antbody blood|anti-parietal cell antibody blood|blood factorvii
oxyge lood saturation respiratory|blood saturation oxygen|blood qnt count, automated reticulocyte
ndex tyroxine level (t4) clculated blod|clculat throxine (4) index blod sr|blood factorvii
drugs benzdiazepne creen blood|benodiazepine screen blood|theopylline bloo
urne ranulrcasts|granular casts urine|von blood factor activity willebrand
lactate dehydrogenase (ld) blood|dehydrogenase lactate (ld) blood|oxyge lood saturation respiratory
ascites creatinine, ascites|qnt ascites creatinine, ascites|ethanol, urine urine
bld mch|mch bld|urine yeast
level ascites ascites glucos,|glucose, ascites ascites|parathyroid quan bld hormone
urine ph|urine ph|beta-2 microglobulin beta2 glob bld
blood cells bite|bite qualitative cells blood|mrous crystals urine
tidal volume blood|blood volume tidal|hematocrit urine hematology/cell counts
chloride, ascites ascites|chloide, ascts quant ascites|bilirubin indiret blood
body mylase, flui otherbodyfuid|amylase, body fluid other body fluid|ascites mass concentration triglycerides, ascites
pleural pleural chloride,|chloride, pleural pleural|tidal volume blood
24 hr calcium 24hr urine|24 hr calcium urine|other casts, urine urine
total protein, pleural pleral|total chemistry protein, pleural pleural|urine ketone
mnocytes bod|blood monocytes|epithelial transitional cells urine
plasma amylase bld|blood amylase|serplas gentamicin blood
pappenheimer ql bodies bld|pappenheimer bodies blood|atypical lymphocytes cerebrospinal fluid (csf)
blood cd15|d15 blood|polys thoracentesis fluid pleural
testosteroe free blood|re tetosterone, boo non-protein bound|blood whole sodium, blood
blod rapmycin|mass concentration bld rapamycin|bld cells young
ph other body fluid|ph other body fluid|hematocrit, caculated blood
wbc,acites actes abs|wbc, ascites ascites|screen blood lymphocytes atypical
ascites monocytes|ascites monocytes|cell mesothelial ascites
blood flow o2|bld flow o2|qnt ca-125 bld
c3 blood|c3 blood ser|blood etamyelocyes
anti-mitochondrialantibody blood|random anti-mitochondrial antibody blood|fetal hgb f hemoglobin bld
urea nitrogen, ascites ascites|nitrogen, urea ascites ascites|pleural pleural albumin,
protein s, functioal bloo|s, protein functional blood|wb large platelets blood
uric urine acid, urine|uric aci, uric acid urine urine|gentamicin bld
ctco2 bicarbonate, stoltol|quantitative bicarbonate, stool stool|blood inr(pt)
acetone bld|drugs ctone bld|24 mrate hr cretinie urine
lood cd64|blood cd64|anti-neutrophil cytoplasmic qualitative antibody blood
cd22 other body fluid|other cd22 body fluid|protein s, functional blood
urea nitrogen, ascites ascites|nitrogen, urea ascites ascites|calculatedbicabonate,whole bood blood
fragmented blood cells|fragmetd wb cells lood|cortisol blood
bone cd59 marrow|bone cd59 marrow|fatty urine
biliruin urine|bilirubin urine|hypersegmented blood number concentration (count/vol) neutrophils
(csf) cerebrospinal fluid nrbc|nrbc csf (csf)|blood monocytes
total protein, pleural pleral|total chemistry protein, pleural pleural|cd16/56 other body fluid
ck-mb index blood|blood point in time index ck-mb|blasts fluid cerebrospinal (csf)
thyroxine (t4) blood|thyroxine (t4) blood|platelet blood smear
cd22 blood|blood cd22|protein s, functional blood
ld, body fluid other body fluid|ld, fluid body other body fluid|bicarbonate bld
urine volume, total urine|urine total volume, urine|co2 total calcuated bood
blood etamyelocyes|metamyelocytes blood white blood cells|urine ratio protein/creatinine
cd11c blood|blood cd11c|transitial eitheial cells urie
quantitative coutblood granulocyte|granulocyte count blood|bicarbonate, pleural pleural
cun granulocye bld|count granulocyte blood count|blood arathyroidoron
hematocrit, csf cerebrospinal fluid (csf)|cerebrospinal csf hematocrit, fluid (csf|anisocytosis whole bld bld
total proten, joint flu jointfluid jint lui|toal protein, flud fluid join join|immoglobulin m blood
hba hemgloblin a blood|heogoblin a blood|body other cd138 fluid
ptt blood|blood ptt|chloride, ascites ascites
othe itroen, body fluid fluid urea body fluid|urea nitrogen, bodyfluid other body fluid|blood xi factor
anti-parietal cell antibody blood|ati-parita cell antbody blood|cd11c blood
pep, csf cerebrospinal fluid (csf)|cerebrospinal csf pep, fluid (csf)|blood cd22
cd45 marrow bone|cd45 bone marrow|lactate l-lactate blood
blood d-dimer|blood d-dimer|teardrop cells blood
24 hr calcium urine|24 r calcim urn|antigen willebrand factor vn blod
chloride blood|blood chloride cl-|cd4 boe mrow
acetaminophen bld|acetaminophen bld|thyroxine (t4) blood mass concentration
lymphoctes, percent blo|lymphocytes, percent blood|antibodies anti-thyroglobulin arbitrary concentration blood
iron binding capacity, total blood|capacity, binding iron total bld point in time|hepatits c virus antibodblod
alveolar-arterial blood gradient|blood gradient alveolar-arterial|young young platelets cells blood
alpha amylase pleural amylase, pleural|amylase, pleural pleural|theopylline bloo
pep, spinal fld csf csf (csf)|cerebrospinal csf pep, fluid (csf)|immoglobulin m blood
urine crystals, urine other|crystals, urine other urine|promyelocytes blood
ascites eosinophils|eosinophils leuc ascites|hepatitis b virus antibody core blood
haemoglobin mchc blood|chc auto bood|myoglobin, urine urine
bone cd33 marrow|arrow one d33|albumin, body fluid other body fluid
uric acid crystals urine|uric acid crytals urie|rine hematorit
oncology anigen carcinoembyroni (cea)blod|carcinoembyronic antigen (cea) blood|other type fluid body fluid
urine urobilinogen|urobilinogen urine|other cd16/56 body fluid
blood cd41|blood cd41|other cd15 body fluid
ascte percent baphils|basophils ascites|blo cd10
pencil bld cell cells|pencil qual blood cells|fm- other boyfluid
atypcal lmphocytes bood|atypical lymphocytes blood|tissue transglutaminase ab, iga blood
f hemoglobin bld|hemogloin f blood|c4 bld
blood flow o2|o2 flow lung boo|pep, csf cerebrospinal fluid (csf)
albumin, body fluid other body fluid|albumi, bdy fluid quantitative other bodyfluid|fluid joint fld joint eosinophils
maroovalocytes blod micros|micro bld macroovalocytes|cells epithelial transitional urine
cd4 body other fluid|cd4 other fluid body|reticulocyte red cell count, blood manual
bld serp mmunofixation|immunofixation blood|urne ranulrcasts
crystals amorphous urine|amorphous crystals urine|tidal volume blood
anisocytosis blood whole blood|anisocytosis whole bld bld|blood, occult stool
blood etamyelocyes|bloo meamyeocytes quan|eosiophil joint fli
tol stol sodiu quan|odium, stool stool|mch bld
synovial fluid fluid joint macrophage|macrophage joint fluid|benzodiazepine screen blood
blood ammonia amon|blood ammonia|urine fatty
howell-joll bodis bld|howell-joly bodis blod|universallaborders blood potassium
cd33 marrow bone|arrow one d33|lymphocytes blood
nrbc oint fluid|nrbc joint fluid qnt|24 hr uine protein
stool stool chloride,|chloride, stool stool|monos leural
protein, total bld serpl|universallaborders protein, total blood|urine hematocrit ur
anti-nuclear antibody blood|antibody anti-nuclear blood|rbc, pleua pleural
bilirubin, universallaborders direct blood|irect biliubin, bld|ascte percent baphils
arbitrary concentration thyroid stimulating hormone blood|thyroid stimulating hormone blood|fld quantitative nitrogen,body urea other bodflid
cd55 blood|blood cd55|sperm urne
anti-gliadin antibody, iga blood|anti-gliadin abs antibody, iga blood|sickle cells blood
nrbc oint fluid|nrbc joint fluid qnt|anti-smooth muscle antibody aby blood
random phosphate, body fluid other body fluid|quan phosphate, body fluid fluid body other|plas quant cells pleural
bld pulmonary ph|ph blood|24 hr calcium urine
urine yeast|urine yeast|hematocrit urine
bodyfluid other cd1|fluid other body cd10|ab, transglutaminase tissue iga blood
blood cd16/56|cd16/56 blood|hatolobin blod
blasts cerebrospinal fluid (csf)|(cf) cerebrospinal white blood cell fluid blasts|pleural pleural chloride,
protein s, functional blood|s, protein functional blood|alveolar-arterial blood gradient
atypical lymphocytes joint fluid|fluid lmphocytes joint atypial|glucose, peural leural
iga transglutaminase ab, tissue blood|tissue transglutaminase ab, universallaborders iga bld|cd11c fluid body other
urine casts broad|broad casts urine|bicaronate, urine uine
macrophage fluid joint hematology/cell counts|joint macrophage fluid|protein/creatinine urine ratio
blood triglycerides|triglycerides blood|hypersegmented neutrophils cerebrospinal fluid (csf)
young young platelets cells blood|yong cells blood|bld estradil
cholesteol, plral cholesterol total pleural|quant holesterol pleural pleurl|creatinin, joint flui jointfuid
rheumatoid factor blood|blood meia factor rheumatoid|screen blood lymphocytes atypical
tidal blood volume|tidal volume blood|blood po2
