source_text,target_loinc
lymphocytes fluid bod body other,11031-2
fud body lymphocytesother,11031-2
lymphocytes body other fluid,11031-2
atypical lymphocytes other body fluid,30417-0
atypial lymphocyte other fluid oy,30417-0
fl atypical lymphcyteoter bod fluid,30417-0
atypial lymphocytes other body flud,30417-0
atypical body fluid lymphocytes oter oy fluid,30417-0
"albumin, urine urine",1754-1
"point in time urinuine albumin,",1754-1
mass concentration albumin urine uie,1754-1
"albumin, urine urine",1754-1
"urine urine albumin,",1754-1
cd11c blood,8109-1
blood cd11c,8109-1
cd11c blood,8109-1
blood cd11c,8109-1
blood cd11c,8109-1
promyelocytes other body fluid,17799-8
promylocytes othr boy fluid,17799-8
proeocytes oer body fluid,17799-8
fluid other body flu promyelocytes,17799-8
promyelocts bodyflu other,17799-8
"creatinine, urine urine",2161-8
"reainine, ure urine",2161-8
"creatinine, urine urine",2161-8
"urine random uie creatiine,",2161-8
"point in time creatinine, urine urine",2161-8
polys ascites,26520-7
polys ascites,26520-7
granulocyte polysascites,26520-7
polys hematology/cell counts ascites,26520-7
peritoneal fluid ascites polys,26520-7
macrophage cerebrospinal fluid (csf),30426-1
macrae macrop eebrospinal lui (cf),30426-1
ceebrospinal macrophae fluid(c),30426-1
fluid cerebrospinal macrophage (csf),30426-1
macrophage cerebrospinal (csf) flud,30426-1
cd55 bone marrow,51344-0
marrow bone cd55,51344-0
cd55 bone marrow,51344-0
marrow bone cd55,51344-0
cd55 bone mrrow,51344-0
transferrin blood,2500-7
mass concentration transferin bood,2500-7
blood transferrin plsm,2500-7
blood transfrrin serum,2500-7
transferrin serplas blood,2500-7
"calcium, urine urine",2004-0
"chemistry cacium,urinuin",2004-0
"calcium, urine urine cal",2004-0
"calium, urine uine",2004-0
"calcium, urine rine ur",2004-0
cd15 other body fluid,51252-5
other cd15 body fluid,51252-5
cd15 oher fuid body,51252-5
cd15 fluid body other,51252-5
other cd15 body fluid,51252-5
protein electrophoresis blood,24351-9
protein blood electrophoresis,24351-9
electrophoresis protein fractionated bld,24351-9
electrophoresis protein blood,24351-9
protein electrophoresis serum or plasma blood,24351-9
"urine crystals, other urine",5783-6
"urinecrystals, ther urine",5783-6
urine crstasother rine,5783-6
"urine crystals, urine other",5783-6
"other crystals, urine urine",5783-6
monos other body fluid,10330-9
monos body other fluid,10330-9
other monos monos body fluid,10330-9
onos othr ody quan fuid,10330-9
by other monos fld point in time,10330-9
atypical lymphocytes pleural,33370-8
variant lymphs lymphocytes atypica pleural,33370-8
lymphocytes atypicl pleural,33370-8
atypica lural lymphocytes variant lymphs,33370-8
atypical lymphocytes pleural,33370-8
phenobarbital blood,3947-9
phenobarital bloo,3947-9
blood phenobarbital,3947-9
pheobarital blood,3947-9
blood ordinal phenobarbital,3947-9
bleeding time blood,11067-6
time bleeding blood,11067-6
beedngime blood,11067-6
bleeding blood time,11067-6
bleedin blood time,11067-6
tidal volume blood,20112-9
blood volume tidal,20112-9
tidal blood volume,20112-9
tidal blood volume,20112-9
volume tidal blood,20112-9
urine color urine,5778-6
color urine urine,5778-6
urine color urine,5778-6
urine color urine,5778-6
urine urine colr,5778-6
plasma ascites,40518-3
lasma leuc ascits,40518-3
plama leuk scits,40518-3
plama scites ascitis,40518-3
plas quan ascites,40518-3
"cocaine, urine urine",3397-7
"coaine, urine urine",3397-7
"urine urine illicit ocaie,",3397-7
"urine cocaine, urine",3397-7
"ordinal urine urine cocaine,",3397-7
ntprobnp blood,33762-6
ntprobnp bld,33762-6
blood ntprobnp,33762-6
nprobnpbood,33762-6
blood ntprobnp,33762-6
hematocrit urine,17809-5
urine spec hematocrit,17809-5
random hematocrit urine,17809-5
urine volfr hematocrit,17809-5
urine percent hematocrit,17809-5
eosinophils blood,711-2
elect blood eosinophils,711-2
bld eos eosinophils,711-2
eosinohils blood blood,711-2
eosinophils blood,711-2
centromere blood,16570-4
ifa blood centromere,16570-4
blood centromere,16570-4
centromee aby blod,16570-4
cermer blood aby,16570-4
"hepatitis b core antibody, igm blood",31204-1
"hepatitis b abs core antibody, igm blood",31204-1
"bld b corentibody, im hepatitis",31204-1
"blood b core aby antibody, igm hepatitis",31204-1
"hepatitis b bld random antibody, igm core",31204-1
hemogloblin s blood,4622-7
bld hematology/cell counts s hemogloblin,4622-7
sblood hemlobin ep,4622-7
hemogloblin blood s,4622-7
sblood hmgloblin sickledex,4622-7
cd11c bone marrow,33202-3
cd11c marrow bone,33202-3
cd11c bon marrow,33202-3
c11c boe marrow,33202-3
marrow bone cd11c,33202-3
lymphocytes pleural,26481-2
pleal lyphocytes,26481-2
pleural lymphocytes,26481-2
pleural lymphocytes white blood cell,26481-2
lymphocyte lymphocytes pleural,26481-2
"osmolality, stool stool",2693-0
"quant osmolality, stool stool",2693-0
sto stoo osmolality,2693-0
"osmolality, stoo sto",2693-0
"osolality, stool random sool",2693-0
macrophages pleural,40520-9
pleural macrpages macrphg,40520-9
leuc pleural macrophages,40520-9
pleural macrophages macrophage,40520-9
pleural wbc mcrophges,40520-9
cyclosporin blood,3521-2
blood cyclosporin,3521-2
cyclosporin sr blood,3521-2
cyclosporin bld,3521-2
blood cycloporn,3521-2
atypical lymphocytes joint fluid,33371-6
atypical lymphocyesjoint wbc fluid,33371-6
atypical joint lymphocytes fluid,33371-6
atypical lymphocytes joint fluid,33371-6
atypical leuk lymphocytes joint fluid,33371-6
monocytes ascites,26488-7
qnt monocytes ascites,26488-7
monocytes ascites white blood cell,26488-7
ascites monocytes,26488-7
monocyte leuk ascies,26488-7
"total protein, joint fluid joint fluid",2886-0
"protein, total joint fluid mass concentration joint fluid",2886-0
"total fuid joint fluid jont synov protein,",2886-0
"total protein, joint joint fld fluid joint fluid",2886-0
"total protein, joint fluid joint fluid",2886-0
uric acid crystals urine,5817-2
crystals acid uric urine,5817-2
uric acid urine crystals,5817-2
uie crytals uriacid,5817-2
uric urine cystals acid,5817-2
"glucose, pleural pleural",2346-5
"glucose, pleural point in time pleural",2346-5
"pleural pleural glucose,",2346-5
pleura pleural glucose pleural fluid,2346-5
"pleural fluid glucose, pleural pleural",2346-5
calculated total co2 blood,34728-6
blood total co2 tco2 calculated,34728-6
caculated total bloo co2 substance concentration,34728-6
calculated total blood co2 ctco2,34728-6
clcuated total co2 quan blood,34728-6
lymphocytes joint fluid,26483-8
lymphocytes joint fluid lymphs,26483-8
ointfluid synov lymphocytes,26483-8
fluid joint lymphocte,26483-8
joinflui lymphocytes,26483-8
"sodium, urine urine",2955-3
"sodium, urine urine",2955-3
"sodium, urine urine",2955-3
"na sodium, urine urine",2955-3
"sodium, urineurne",2955-3
immunoglobulin g blood,2465-3
g immunoglobulin bld,2465-3
g immunoglobulin blood,2465-3
immunoglblin serum or plasma g lod,2465-3
immunoglobulin blood g,2465-3
cd34 blood,8125-7
blood cd34,8125-7
blood d34,8125-7
cd34 bod,8125-7
blood cd34,8125-7
basophils joint fluid,17833-5
basophils leukocyte joint fluid,17833-5
basophils hematology/cell counts ot flid,17833-5
basophilsjoit fluid,17833-5
basophis joint luid,17833-5
"glucose, csf cerebrospinal fluid (csf)",2342-4
"csfcerebrospinal glucose, fluid(c) cerebrospinal fl",2342-4
"csf glucose, cerebrospinal fluid (csf)",2342-4
"fluid cerebrospinal fluid spinal fluid cerebrospinal glucose, (cerebrospinal fluid)",2342-4
"glucose, level csf cerebrospinal fluid (csf)",2342-4
cd22 other body fluid,42875-5
cd22 body other fluid,42875-5
cd22 other body flui,42875-5
cd22 fluid body other,42875-5
cd22 othe bodyfluid,42875-5
mesothelial cells joint fluid,33365-8
msthelial fuid joint cells,33365-8
mesothelial cells joint fluid joint flu,33365-8
mesothelial cells joint fluid,33365-8
mesothelial fluid joint cells,33365-8
factor ii blood,3289-6
factor blood ii,3289-6
factor blood ii,3289-6
blood factorii,3289-6
blood ii factor,3289-6
cd3 bone marrow,32529-0
bone cd3 marrow,32529-0
marrow bn cd3,32529-0
marrow boe cd3,32529-0
bone cd3 marrow,32529-0
cd15 bone marrow,51251-7
marrow bone cd15,51251-7
bone cd15 marrow,51251-7
marrow bone cd15,51251-7
c15 bone marrow,51251-7
lymphs cerebrospinal fluid (csf),26479-6
lymphs cerebropinal quan fluid (c),26479-6
cerebrospinal lymphs fluid (csf) point in time,26479-6
fluid crebrospinal lyphs (csf leuk,26479-6
(csf) csf lymphs,26479-6
hemosiderin urine,4644-1
point in time urine hemosierin,4644-1
urine qual hemosiderin,4644-1
emsiderin urine,4644-1
urie hemosderin,4644-1
"cd8 cells, percent blood",8137-2
"percent cd8cells, bod",8137-2
"percent els, cd8 blod",8137-2
"blood cells, percent cd8",8137-2
"blood cells, percent cd8",8137-2
"iron binding capacity, total blood",2500-7
"iron total capacity, binding blood",2500-7
"ion indin apaity, toal bld",2500-7
"blood binding capacity, total iron",2500-7
"iron binding capacity, total blood",2500-7
fibrin degradation products blood,30226-5
fibrin products degradation blood,30226-5
degration fibrin poucts bloo,30226-5
fibri degradation lood producs,30226-5
blood degradation products fibrin,30226-5
protein/creatinine ratio urine,2890-2
protein/creatinine urine ratio creat,2890-2
ratio protein/creatinine urine mass concentration ratio,2890-2
urine ratio protein/creatinine,2890-2
urine ratio pr protein/creatinine,2890-2
urine mucous urine,8247-9
urie mucous urne,8247-9
urine mucous urine,8247-9
uine mucous uine,8247-9
urine urine mucous,8247-9
anion gap blood,1863-0
anion gp plasma blood,1863-0
gap anion blood,1863-0
gap anion blood,1863-0
ood gap anin,1863-0
cd19 blood,8117-4
blood cd19,8117-4
blood cd19,8117-4
blood cd19,8117-4
cd19 blood,8117-4
factor x blood,3218-5
actor blod x,3218-5
xblood factor,3218-5
x factor blood,3218-5
x factor blood,3218-5
leukocyte alkaline phosphatase blood,4659-9
blood alkaline phosphatase leukocyte point in time,4659-9
leukocyte alkaline lap phosphatase blood,4659-9
leukocyte alkaline blood phosphatase,4659-9
leukocyte blood phosphatase alkaline,4659-9
"lipase, body fluid other body fluid",15212-4
"fluid body lipase, other body fluid",15212-4
"lipase, body fluid fld fluid body other",15212-4
"liase, ody fluid other body fluid",15212-4
"lipase, bodies body fluid other body fluid",15212-4
alpha-fetoprotein blood,1834-1
blood feto alpha-fetoprotein,1834-1
blood alpha-fetoprotein,1834-1
blood alpha-fetoprotein i,1834-1
blood alpha-fetoprotein quan,1834-1
"cd3 cells, percent blood",8122-4
"d3 cells, percnt blood",8122-4
"pcentlood cells, cd3",8122-4
"cd3 percent cells, blood",8122-4
"d3 cls, eret blood",8122-4
hiv antibody blood,5220-9
hiv antibody blood,5220-9
hiv blood antibody,5220-9
hiv atibodyblood,5220-9
bld infectious disease antibody hiv,5220-9
other cells blood,729-4
other cnt cells blood,729-4
other cells quantitative blood,729-4
other bld cells whole bld,729-4
oercells blood,729-4
"glucose, ascites ascites",2347-3
"glucose, ascites ascites",2347-3
"asctes gluos, ascites",2347-3
ascite ascites gluose,2347-3
glucoseacites quantitative scites,2347-3
"chloride, body fluid other body fluid",2072-7
"chloride, body fluid other body fluid",2072-7
"choride, fluid fluidoter bd body",2072-7
"chloride, body fluid other body fluid",2072-7
"chloide, body fid otheody cl fluid",2072-7
blood parasite smear blood,24429-3
blood parasite smear blood nominal,24429-3
blood parasite blood smear,24429-3
wb bloodparasit smear bld,24429-3
infectious disease blood parasite smear blood,24429-3
cd2 other body fluid,17827-7
cd2 body other luid,17827-7
cd2 body other fluid,17827-7
other cd2 body fluid,17827-7
oter cd body uid,17827-7
rheumatoid factor blood,6928-6
reumatoid fato bloo qnt,6928-6
blood factor rheumatoid,6928-6
rheumatoid factor blo rf,6928-6
factor rheumatoid blood,6928-6
"sodium, stool stool",15207-4
"gastroenterology sodium, stool stool",15207-4
"sodium, stool stool stl",15207-4
"sodium, stool faeces stool",15207-4
sodum stool stool,15207-4
sperm urine,8248-7
urne serm,8248-7
spermuine,8248-7
rine sperm,8248-7
sperm rie,8248-7
cd7 other body fluid,57425-1
cd7 fluid body other,57425-1
cd7 bodyflui other,57425-1
fluid other body cd7,57425-1
cd7 fluid body other,57425-1
cd117 blood,17107-4
blood cd117,17107-4
blood cd117,17107-4
blood cd117,17107-4
blood cd117,17107-4
"albumin, ascites ascites",1749-1
"quan albumin, ascites ascites",1749-1
"aites albumin, ascites",1749-1
ascites ascites ascites albumin,1749-1
"sites acites albumin,",1749-1
oxygen saturation blood,20564-1
oxygen saturation blood,20564-1
saturation oxygen blood,20564-1
oxygen saturation random blood,20564-1
oxygen saturation blood o2,20564-1
macrophage other body fluid,12230-9
acrophge other number fraction fluid body,12230-9
other white blood cell macrophage body fluid,12230-9
macrophage percent other body fluid,12230-9
arophag fluid body other,12230-9
absolute a1c blood,4548-4
absolute glycosylated hemoglobin bld a1c,4548-4
a1c absolute blood,4548-4
absolute blood a1c,4548-4
bld asolua1c,4548-4
macrocytes blood,738-5
bloo arocytes,738-5
macrocytes blood blood,738-5
macrocytes blood wb,738-5
blood macrocytes pr,738-5
basophils other body fluid,28543-7
quant basohil boy other fluid,28543-7
basohils other bod luid,28543-7
bashils oth bodyluid,28543-7
basophils quantitative other body fluid,28543-7
"rbc, pleural pleural",26456-4
"rbc, pleural pleural",26456-4
"pleural pleural rbc, number concentration",26456-4
"rbc, pleural red blood cells pleura",26456-4
"pleural red cells pleural rbc,",26456-4
"total protein, csf cerebrospinal fluid (csf)",2880-3
"(cf) rtein, csf cerebropinal fluid total",2880-3
"total protein, sf csf(csf)",2880-3
"ttal protein, csf cerebrospial fluid spinal fluid (csf)",2880-3
"totalprotein, csf cerebrospinal fluid (csf)",2880-3
cd5 other body fluid,57423-6
c5 fluid otherboy,57423-6
fluid other body cd5,57423-6
cd5 other fluid body,57423-6
body other cd5 fluid,57423-6
macrophage ascites,40517-5
quan ascites macrophage,40517-5
macrophage random ascites,40517-5
white blood cells ascites macrophage,40517-5
ascites macrophage macrophage,40517-5
bite cells blood,10371-3
ite cells blod random,10371-3
cells bite blood,10371-3
qualitative bit cellsbloo,10371-3
bite blood cel,10371-3
"triglycerides, pleural pleural",9619-8
"pleural pleural lung triglycerides,",9619-8
"triglceride, pleural plual pleural",9619-8
"pleural pleual triglycerids,peural",9619-8
"triglycerides, pleural pleual pleural",9619-8
glyco a bone marrow,33208-0
bone a glyco marrow,33208-0
glyco bone marw,33208-0
glyco bone a marrow,33208-0
marrow a bone glyco,33208-0
"reticulocyte count, absolute blood",14196-0
"reticulocyte count, absolute bld",14196-0
"reticulocyte count, absolute qnt blood",14196-0
"reticulocyte blood absolute # count,",14196-0
"reticulocyte absolute count, blood",14196-0
heparin blood,13055-9
bood heparin,13055-9
hearin od,13055-9
blood heparin,13055-9
blood heparin,13055-9
"potassium, stool stool",15202-5
