LOINC_NUM,LONG_COMMON_NAME,SHORTNAME,DisplayName,RELATEDNAMES2,SCALE_TYP
100329-2,feared for safety due to verbal attack,,,finding; findings; ordinal; point in time; ql; qual; qualitative; random; screen; survey; survey.mtlhlth,Ord
100339-1,experienced attempted physical restraint,,,finding; findings; ordinal; point in time; ql; qual; qualitative; random; screen; survey; survey.mtlhlth,Ord
100342-5,volatile organic compounds associated with sars-cov-2 infection [presence] in exhaled gas by gas chromatography-mass spectrometry,vocs (volatiles) sars-cov-2 exg ql gc-ms,volatile organic compounds associated with sars-cov-2 infection gas chromatography-mass spectrometry ql (exhl gas),assoc; breath; exg; exhaled gas; exhaled gas (=breath); gas chromatography; gases; id; ii; infectious disease; infectiousdisease; microbiology; ordinal; ph; point in time; pr; public health; publichealth; ql; qual; qualitative; random; screen; severe acute respiratory syndrome; vocs (volatiles) sars-cov-2; volatiles,Ord
100345-8,influenza virus a and b and sars-cov-2 (covid-19) rna panel - specimen by naa with probe detection,fluabv+sars-cov-2 rna pnl spec naa+probe,influenza virus a and b and sars-cov-2 (covid-19) rna panel naa+probe (specimen),2019 novel coronavirus; 2019-ncov; 3 self-sustaining sequence replication; 3sr sr; amplif; amplification; amplified; avian influenza; bird flu; corona virus; covid19; covid-19; dna nucleic acid probe; dna probe; flua; fluabv + sars-cov-2; fluabv+sars-cov-2 rna pnl; fluav; flub; flubv; fluv; fowl plague; id; ii; infectious disease; infectiousdisease; influ; influenza a; influenza a virus; influenza b; influenza b virus; lat; lcr; ligase chain reaction; ligation-activated transcription; microbiology; misc; miscellaneous; naa+probe; naat; nasba; nucleic acid sequence based analysis; other; pan; panel.microbiology; panl; pcr; ph; pnl; point in time; polymerase chain reaction; probe amp; probe with ampification; probe with target amplification; public health; publichealth; qbr; random; ribonucleic acid; sars coronavirus 1; sars-cov; sars-cov-1; sars-cov-2; sars-cov-2 rna pnl; sda; severe acute respiratory syndrome; spec; strand displacement amplification; tma; to be specified in another part of the message; transcription mediated amplification; unspecified; viral pneumonias; wuhan coronavirus,-
100359-9,gliadin 33 mer peptide [mass/volume] in stool by immunoassay,gliadin 33 mer stl ia-mcnc,gliadin 33 mer peptide ia (stl) [mass/vol],bowel movement; celiac disease; chemistry; eia; elfa; elisa; enzyme immunoassay; f98; faecal; faeces; fecal; feces; gliadine; iaa; level; mass concentration; meia; pept; point in time; qnt; quan; quant; quantitative; random; stl; stool = fecal; suds,Qn
100381-3,mentha balsamea wild igg ab [units/volume] in serum,mentha balsamea wild igg qn,mentha balsamea wild igg qn (s),abs; aby; allergen; allergens; allergy testing; antby; anti; antibodies; antibody; arbitrary concentration; autoantibodies; autoantibody; immune globulin g; immunoglobulin g; point in time; qnt; quan; quant; quantitative; random; serum; sr,Qn
100394-6,astacoidea igg ab [units/volume] in serum,decapod crustaceans igg qn,decapod crustaceans igg qn (s),"abs; aby; allergen; allergens; allergy testing; antby; anti; antibodies; antibody; arbitrary concentration; autoantibodies; autoantibody; decapod crustaceans; decapod crustaceans igg; immune globulin g; immunoglobulin g; lobsters, crayfish; point in time; qnt; quan; quant; quantitative; random; serum; sr",Qn
100395-3,carob igg ab [units/volume] in serum,carob igg qn,carob igg qn (s),abs; aby; allergen; allergens; allergy testing; antby; anti; antibodies; antibody; arbitrary concentration; autoantibodies; autoantibody; carob; carob bean gum; f296; immune globulin g; immunoglobulin g; locust bean gum; point in time; qnt; quan; quant; quantitative; random; rf296; serum; sr; st john's bread,Qn
100419-1,snow pea igg ab [units/volume] in serum,snow pea igg qn,snow pea igg qn (s),abs; aby; allergen; allergens; allergy testing; antby; anti; antibodies; antibody; arbitrary concentration; autoantibodies; autoantibody; f012; f12; green pea; immune globulin g; immunoglobulin g; pea; peas; point in time; qnt; quan; quant; quantitative; random; serum; snow pea; snow pea ab.igg; sr,Qn
100426-6,squalene [mass/volume] in serum or plasma,squalene serpl-mcnc,squalene [mass/vol],chemistry; level; mass concentration; pl; plasma; plsm; point in time; qnt; quan; quant; quantitative; random; serp; serpl; serplas; serum; serum or plasma; sr,Qn
100428-2,carnitine free and total and acylcarnitine panel - urine,carnitine + acylcarnitine pnl ur,carnitine free and total and acylcarnitine panel (u),acyl carnitine; acylcarni; acylcarnitine pnl; carnitine + acylcarnitine pnl; carnitine.total; chemistry; fr; non-protein bound; pan; panel.chemistry; panl; pnl; point in time; random; tot; totl; ua; ur; urn,-
100430-8,cells.lrba+/cells.cd3+cd14-cd45+ in blood by flow cytometry (fc),cells.lrba+/t cells nfr bld fc,cells.lrba+/cells.cd3+cd14-cd45+ fc (bld),b220; blood; cd3 cells; cd45r; cd45ra; cd45rb; cd45rc; cd45ro; cell; cell markers; cellularity; dynamic; fc; lca; leu4; leu-4; leukocyte common antigen; leum3; leu-m3; lps receptor; lps-r; ly5; mo2; mo-2; monocytes; my4; my-4; number fraction; percent; point in time; qnt; quan; quant; quantitative; random; t cells; t200; t3; wb; whole blood,Qn
100433-2,cells.cd3-cd14-cd19+cd45+.lrba mean fluorescence intensity in blood by flow cytometry (fc),b-cells lrba mfi bld fc,cells.cd3-cd14-cd19+cd45+.lrba mean fluorescence intensity fc (bld) [units],arbitrary; average; avg; b220; b4; b-4; b-cells lrba mfi; blood; cd3 cells; cd45r; cd45ra; cd45rb; cd45rc; cd45ro; cell; cell markers; cellularity; dynamic; fc; hd-37; lca; leu12; leu-12; leu4; leu-4; leukocyte common antigen; leum3; leu-m3; lps receptor; lps-r; ly5; mo2; mo-2; my4; my-4; point in time; qnt; quan; quant; quantitative; random; t200; t3; wb; whole blood,Qn
100436-5,ubiquitin carboxyl-terminal hydrolase-l1 [mass/volume] in serum by immunoassay,uch-l1 ser ia-mcnc,ubiquitin carboxyl-terminal hydrolase-l1 ia (s) [mass/vol],eia; elfa; elisa; enzyme immunoassay; iaa; level; mass concentration; meia; point in time; qnt; quan; quant; quantitative; random; serology; serum; sr; suds; tbi (traumatic brain injury); uch-l1,Qn
100438-1,adolescent medicine outpatient progress note,adolescent med op prog note,,doc.ont; document; encounter; evaluation and management; evaluation and management note; finding; findings; notes; op; point in time; prog note; random; subsequent evaluation; subsequent visit evaluation; visit note,Doc
100442-3,audiology outpatient progress note,audiology op prog note,,doc.ont; document; encounter; evaluation and management; evaluation and management note; finding; findings; notes; op; point in time; prog note; random; subsequent evaluation; subsequent visit evaluation; visit note,Doc
100445-6,bone marrow transplant outpatient progress note,bm transplant op prog note,,bm transplant; doc.ont; document; encounter; evaluation and management; evaluation and management note; finding; findings; notes; op; point in time; prog note; random; subsequent evaluation; subsequent visit evaluation; visit note,Doc
100452-2,clinical cardiac electrophysiology outpatient progress note,electrophysiology op prog note,,doc.ont; document; encounter; evaluation and management; evaluation and management note; finding; findings; notes; op; point in time; prog note; random; subsequent evaluation; subsequent visit evaluation; visit note,Doc
100454-8,clinical neurophysiology outpatient progress note,clinical neurophys op prog note,,doc.ont; document; encounter; evaluation and management; evaluation and management note; finding; findings; notes; op; point in time; prog note; random; subsequent evaluation; subsequent visit evaluation; visit note,Doc
100459-7,outpatient covid-19 progress note,op covid-19 progress note,,2019 novel coronavirus; 2019-ncov; coronavirus disease 2019; covid19; covid-19 progress note; doc.ont; document; encounter; evaluation and management; evaluation and management note; finding; findings; notes; op; point in time; prog note; random; sars coronavirus; sars-cov-2; sars-related coronavirus; subsequent evaluation; subsequent visit evaluation; visit note,Doc
100492-8,nutrition and dietetics outpatient progress note,nutr+diet op prog note,,doc.ont; document; encounter; evaluation and management; evaluation and management note; finding; findings; notes; nutr+diet; nutrition+dietetics; op; point in time; prog note; random; subsequent evaluation; subsequent visit evaluation; visit note,Doc
100506-5,pediatric dermatology outpatient progress note,peds dermatology op prog note,,derm; doc.ont; document; encounter; evaluation and management; evaluation and management note; finding; findings; notes; op; peds; peds dermatology; point in time; prog note; random; subsequent evaluation; subsequent visit evaluation; visit note,Doc
100515-6,pediatric transplant hepatology outpatient progress note,peds transpl hepato op prog note,,doc.ont; document; encounter; evaluation and management; evaluation and management note; finding; findings; notes; op; peds; peds transpl hepato; point in time; prog note; random; subsequent evaluation; subsequent visit evaluation; visit note,Doc
100516-4,pediatric urology outpatient progress note,peds urology op prog note,,doc.ont; document; encounter; evaluation and management; evaluation and management note; finding; findings; notes; op; peds; peds urology; point in time; prog note; random; subsequent evaluation; subsequent visit evaluation; visit note,Doc
100518-0,physical medicine and rehab outpatient progress note,pm+r op prog note,,doc.ont; document; encounter; evaluation and management; evaluation and management note; finding; findings; notes; op; pm+r; point in time; prog note; random; subsequent evaluation; subsequent visit evaluation; visit note,Doc
100521-4,podiatry outpatient progress note,podiatry op prog note,,doc.ont; document; encounter; evaluation and management; evaluation and management note; finding; findings; notes; op; point in time; prog note; random; subsequent evaluation; subsequent visit evaluation; visit note,Doc
100528-9,reproductive endocrinology and infertility outpatient progress note,rei op prog note,,doc.ont; document; encounter; evaluation and management; evaluation and management note; finding; findings; notes; op; point in time; prog note; random; rei; subsequent evaluation; subsequent visit evaluation; visit note,Doc
100553-7,blood banking and transfusion medicine hospital progress note,bld bnk+trans med hosp prog note,,bld bnk+trans med; blood conservation; doc.ont; document; encounter; evaluation and management; evaluation and management note; finding; findings; hosp; inpatient; notes; point in time; prog note; random; subsequent evaluation; subsequent visit evaluation; tx; visit note,Doc
100555-2,breastfeeding hospital progress note,breastfeeding hosp prog note,,doc.ont; document; encounter; evaluation and management; evaluation and management note; finding; findings; hosp; inpatient; notes; point in time; prog note; random; subsequent evaluation; subsequent visit evaluation; visit note,Doc
100557-8,cardiac surgery hospital progress note,cardiac surgery hosp prog note,,doc.ont; document; encounter; evaluation and management; evaluation and management note; finding; findings; hosp; inpatient; notes; point in time; prog note; random; subsequent evaluation; subsequent visit evaluation; surg; visit note,Doc
100570-1,eating disorders hospital progress note,eating disorders hosp prog note,,doc.ont; document; encounter; evaluation and management; evaluation and management note; finding; findings; hosp; inpatient; notes; point in time; prog note; random; subsequent evaluation; subsequent visit evaluation; visit note,Doc
100583-4,hepatology hospital progress note,hepatology hosp prog note,,doc.ont; document; encounter; evaluation and management; evaluation and management note; finding; findings; hosp; inpatient; notes; point in time; prog note; random; subsequent evaluation; subsequent visit evaluation; visit note,Doc
100586-7,internal medicine hospital progress note,internal med hosp prog note,,doc.ont; document; encounter; evaluation and management; evaluation and management note; finding; findings; hosp; inpatient; notes; point in time; prog note; random; subsequent evaluation; subsequent visit evaluation; visit note,Doc
100590-9,medical aid in dying hospital progress note,maid hosp prog note,,assisted suicide; death with dignity; doc.ont; document; encounter; end of life option; evaluation and management; evaluation and management note; finding; findings; hosp; inpatient; maid; medical assistance in dying; medical assisted death; notes; physician-assisted death; point in time; prog note; random; subsequent evaluation; subsequent visit evaluation; visit note,Doc
100598-2,nurse practitioner hospital progress note,nurse pract hosp prog note,,doc.ont; document; encounter; evaluation and management; evaluation and management note; finding; findings; hosp; inpatient; notes; nursing; point in time; prog note; random; subsequent evaluation; subsequent visit evaluation; visit note,Doc
100606-3,oral and maxillofacial surgery hospital progress note,oms hosp prog note,,doc.ont; document; encounter; evaluation and management; evaluation and management note; finding; findings; hosp; inpatient; notes; oms; point in time; prog note; random; subsequent evaluation; subsequent visit evaluation; surg; visit note,Doc
100622-0,pediatric surgery hospital progress note,peds surgery hosp prog note,,doc.ont; document; encounter; evaluation and management; evaluation and management note; finding; findings; hosp; inpatient; notes; peds; peds surgery; point in time; prog note; random; subsequent evaluation; subsequent visit evaluation; surg; visit note,Doc
100627-9,physical therapy hospital progress note,pt hosp prog note,,doc.ont; document; encounter; evaluation and management; evaluation and management note; finding; findings; hosp; inpatient; notes; point in time; prog note; pt; random; subsequent evaluation; subsequent visit evaluation; visit note,Doc
100629-5,podiatry hospital progress note,podiatry hosp prog note,,doc.ont; document; encounter; evaluation and management; evaluation and management note; finding; findings; hosp; inpatient; notes; point in time; prog note; random; subsequent evaluation; subsequent visit evaluation; visit note,Doc
100632-9,radiology hospital progress note,radiology hosp prog note,,doc.ont; document; encounter; evaluation and management; evaluation and management note; finding; findings; hosp; inpatient; notes; point in time; prog note; random; subsequent evaluation; subsequent visit evaluation; visit note,Doc
100681-6,herpes virus 7 dna [log #/volume] (viral load) in serum or plasma by naa with probe detection,hhv7 dna serpl naa+probe-log#,hhv 7 dna naa+probe [log #/vol],3 self-sustaining sequence replication; 3sr sr; amplif; amplification; amplified; deoxyribonucleic acid; dna nucleic acid probe; dna probe; herpesvirus; hhv; hhv7; human herpes virus; human herpes virus type 7; lat; lcr; ligase chain reaction; ligation-activated transcription; log ncnc; log#; microbiology; naa+probe; naat; nasba; nucleic acid sequence based analysis; pcr; pl; plasma; plsm; point in time; polymerase chain reaction; probe amp; probe with ampification; probe with target amplification; qbr; qnt; quan; quant; quantitative; random; sda; serp; serpl; serplas; serum; serum or plasma; sr; strand displacement amplification; tma; transcription mediated amplification; viral load,Qn
100700-4,trichomonas vaginalis dna [presence] in urethra by naa with probe detection,t vaginalis dna urth ql naa+probe,t. vaginalis dna naa+probe ql (urethra),3 self-sustaining sequence replication; 3sr sr; amplif; amplification; amplified; deoxyribonucleic acid; dna nucleic acid probe; dna probe; genital tract; lat; lcr; ligase chain reaction; ligation-activated transcription; microbiology; naa+probe; naat; nasba; nucleic acid sequence based analysis; ordinal; pcr; point in time; polymerase chain reaction; pr; probe amp; probe with ampification; probe with target amplification; qbr; ql; qual; qualitative; random; screen; sda; strand displacement amplification; t vaginalis; tma; transcription mediated amplification; tric; trich; trichimoniasis; trichomonad; trichomonads; trichomoniasis; urth,Ord
100706-1,mycoplasma genitalium rrna [presence] in specimen by naa with probe detection,m genitalium rrna spec ql naa+probe,m. genitalium rrna naa+probe ql (specimen),3 self-sustaining sequence replication; 3sr sr; amplif; amplification; amplified; dna nucleic acid probe; dna probe; gen-probe; lat; lcr; ligase chain reaction; ligation-activated transcription; m genitalium; m genitalium rrna; microbiology; misc; miscellaneous; myco; mycoplas; mycoplasm; mycoplasmoides genitalium; mycoplasmosis; mycoplsm; naa+probe; naat; nasba; nucleic acid sequence based analysis; ordinal; other; pcr; point in time; polymerase chain reaction; pr; probe amp; probe with ampification; probe with target amplification; qbr; ql; qual; qualitative; random; ribosomal rna; screen; sda; spec; strand displacement amplification; tma; to be specified in another part of the message; transcription mediated amplification; unspecified,Ord
100710-3,chlamydia trachomatis and neisseria gonorrhoeae rrna panel - throat by naa with probe detection,c trach+gc pnl throat naa+probe,c. trachomatis and n. gonorrhoeae rrna panel naa+probe (throat),3 self-sustaining sequence replication; 3sr sr; amplif; amplification; amplified; c trac; c trach; c trach+gc; c trach+gc pnl; c tracho; c trachomatis; chlam; chlam trac; chlamid; ct; ct/gc; dna nucleic acid probe; dna probe; gc; gen-probe; gono; gonorrhea; lat; lcr; lgv; ligase chain reaction; ligation-activated transcription; lymphogranuloma venereum; microbiology; n gonorrhoea; n gonorrhoeae; naa+probe; naat; nasba; nucleic acid sequence based analysis; pan; panel.microbiology; panl; pcr; pnl; point in time; polymerase chain reaction; probe amp; probe with ampification; probe with target amplification; qbr; random; ribosomal rna; sda; strand displacement amplification; throat; tma; trachoma; transcription mediated amplification; upper respiratory,-
100718-6,undersea and hyperbaric medicine discharge summary,undersea+hyperbar d/c sum,,d/c sum; disch; discharge summary; doc.ont; document; encounter; evaluation and management; evaluation and management note; finding; findings; notes; point in time; random; undersea+hyperbar; visit note,Doc
100721-0,community health care discharge summary,comm hlth care d/c sum,,comm hlth care; continuity assessment record and evaluation; d/c sum; disch; discharge summary; doc.ont; document; encounter; evaluation and management; evaluation and management note; finding; findings; notes; point in time; random; visit note,Doc
100723-6,sports medicine discharge summary,sports medicine d/c sum,,d/c sum; disch; discharge summary; doc.ont; document; encounter; evaluation and management; evaluation and management note; finding; findings; notes; point in time; random; visit note,Doc
100725-1,optometry discharge summary,optometry d/c sum,,d/c sum; disch; discharge summary; doc.ont; document; encounter; evaluation and management; evaluation and management note; finding; findings; notes; point in time; random; visit note,Doc
100732-7,cholesterol.in lipoprotein (little a) and cholesterol.in ldl panel - serum,lpald ser,cholesterol.in lipoprotein (little a) & cholesterol.in ldl panel (s),chemistry; chol; choles; cholest; cholesterol total; cholesterols; ldlc; ldl-c; lip; lipid; lipoprot; lipoproteins; low density lipoprotein cholesterol; low density lipoprotein cholesterols; lp; lp(a); lp(a) cholesterol; lpa; lpa cholest; lpa cholesterol; lpald; pan; panel.chemistry; panl; pnl; point in time; random; serum; sr,-
100739-2,aspartate aminotransferase.macromolecular [presence] in serum or plasma,ast macro serpl ql,ast.macromolecular ql,asp; aspartate amino transferase; aspartate transaminase; aspartic acid; ast; ast macro; chemistry; glutamic oxaloacetic transaminase; ordinal; pl; plasma; plsm; point in time; pr; ql; qual; qualitative; random; screen; serp; serpl; serplas; serum; serum or plasma; sgot; sr,Ord
1007-4,direct antiglobulin test.polyspecific reagent [presence] on red blood cells,dat poly-sp reag rbc ql,direct antiglobulin test.polyspecific reagent ql (rbc),antiglob; blood bank; dagt; dat; dat poly-sp reag; dct; dir; direct antiglobulin test.non specific reagent; direct coomb; direct coombs test; erythrocytes; hematology; heme; ordinal; point in time; poly specific; pr; ql; qual; qualitative; random; red blood cells; red blood corpusles; screen; universallaborders,Ord
100747-5,legionella serogroup panel - specimen,lp-sg panel spec,legionella serogroup panel (specimen),legion; legionela; lp-sg panel; microbiology; misc; miscellaneous; other; pan; panel.microbiology; panl; pnl; point in time; random; spec; to be specified in another part of the message; unspecified,-
10075-0,s' wave duration in lead iii,s' wave dur l-iii,,3; cardiac; cardio; cardiology; durat; ecg; ekg.measurements; electrocardiogram; electrocardiograph; heart disease; hrt; painter's colic; pb; plumbism; point in time; qnt; quan; quant; quantitative; random; s prime; s' wave dur l-iii; s wave dur l-iii,Qn
100754-1,platelet disorders multigene analysis in blood or tissue by sequencing,plt disorder gene anal bld/t seq,platelet disorders multigene analysis sequencing doc (bld/tiss),"blood; document; finding; findings; gene; gene panel; high-throughput sequencing; hts; molecular pathology; molpath; multi-gene study; multiple-gene panel test; next generation sequencing; ngs; pl; platelets; platelt; plt; plt disorder gene anal; point in time; random; thrombocyte; thrombocytes; tissue; tissue, unspecified; wb; whole blood; whole blood or tissue",Doc
100758-2,estimated lung age by based on clinical data,estimated lung age from clin data,,from clin data; point in time; pulmonary; qnt; quan; quant; quantitative; random,Qn
10076-8,s' wave duration in lead v1,s' wave dur l-v1,,cardiac; cardio; cardiology; durat; ecg; ekg.measurements; electrocardiogram; electrocardiograph; heart disease; hrt; painter's colic; pb; plumbism; point in time; qnt; quan; quant; quantitative; random; s prime; s' wave dur l-v1; s wave dur l-v1,Qn
100771-5,trouble focusing,,,finding; findings; ordinal; ql; qual; qualitative; report period; screen; survey; survey.mtlhlth,Ord
100776-4,feeling fearful,,,finding; findings; ordinal; ql; qual; qualitative; report period; screen; survey; survey.mtlhlth,Ord
100780-6,feeling lonely,,,finding; findings; ordinal; ql; qual; qualitative; report period; screen; survey; survey.mtlhlth,Ord
100789-7,rhizopus nigricans igg4 ab [mass/volume] in serum,r nigricans igg4-mcnc,rhizopus nigricans igg4 (s) [mass/vol],abs; aby; allergen; allergens; allergy testing; antby; anti; antibodies; antibody; autoantibodies; autoantibody; level; m11; mass concentration; point in time; qnt; quan; quant; quantitative; r nigricans; random; rhizopus nigricans igg4; serum; sr,Qn
100792-1,forsythia ige ab [units/volume] in serum,forsythia ige qn,forsythia ige qn (s),abs; aby; allergen; allergens; allergy testing; antby; anti; antibodies; antibody; arbitrary concentration; autoantibodies; autoantibody; forsythia ige; golden bell; immune globulin e; immunoglobulin e; point in time; qnt; quan; quant; quantitative; random; serum; sr,Qn
