LOINC_NUM,text_representation
29721-8,flucv ag if ql (specimen)
29721-8,presence ag if flucv (specimen)
29721-8,(specimen) ag if ql flucv
89503-7,rna polymerase iii ab [units/volume] in serum by line blot
89503-7,rna polymerase ab iii [units/volume] in serum by line blot
89503-7,rna polymerase ii ab line nseru y unitsvolume] lot
89503-7,rnap iii ab ser line blot-acnc
89503-7,rnap iii ab serum line lt-acnc
89503-7,botacnc iiiab ser qnt line rnap
89503-7,rna polymerase iii ab line blot qn (s)
89503-7,rna polymerase iii ribonucleic acid ab (s) blot qn line
89503-7,rna polyease iii ab line blotqn (s)
57289-1,neisseria gonorrhoeae rrna [presence] in nasopharynx by naa with probe detection
57289-1,neisseria gonorrhoeae rrna [ql] in nasopharynx detectio a wit probe y
57289-1,neisseria gonorhoee rra presence in nasopharynx by naa detecti prob wih
57289-1,n gonorrhoea rrna nph ql naa+probe
57289-1,gonorrhoerrna n nphql point in time naa+robe
57289-1,n nph rrna gonorrhoea presence naa+probe
57289-1,n. gonorrhoeae rrna naa+probe ql (nph)
57289-1,n. goorhoee rrna naa+prbe q strand displacement amplification (nph)
57289-1,n. gonorrhoeae rrna (nph) ql naa+probe
11238-3,hydroxyalprazolam [mass/volume] in urine
11238-3,hydroxyalprazolam ua in [mass/volume] urine
11238-3,hydroxyalprazolam [mass/volume] in urine
11238-3,oh-alpraz ur-mcnc
11238-3,ur-mcnc oh-alpraz
11238-3,ur-mcnc oh-alpraz
11238-3,hydroxyalprazolam (u) [mass/vol]
11238-3,hoyalprazolam (u) [mass/vol] level
11238-3,ur hydroxyaprazolam (u)[mass/vo]
44992-6,chlamydia trachomatis c igg ab [presence] in serum
44992-6,chlamydia trachomatis serum igg ab [presence] in c
44992-6,n trachomatis c igg ab [presenc] chlamydia serum screen
44992-6,c trach c igg ser ql
44992-6,ctrach c antibody igg serum ql
44992-6, trach c igg serum ql
44992-6,c. trachomatis c igg ql (s)
44992-6,c. igg c trachomatis ql autoantibody (s)
44992-6,c. tachomais l igg c ()
100962-0,"dengue virus ab.igg panel - serum, plasma or blood"
100962-0,"ab.igg virus dengue pl panel - serum, plasma or bld"
100962-0,"denue virus ab.gg panel - serum, plasma or blood"
100962-0,denv ab.igg panel serplbld
100962-0,denv serplbld panel ab.igg
100962-0,ab.igg serum or plasma denv panel serplbld
100962-0,dengue virus ab.igg panel (s/p/bld)
100962-0,dengue vius ab.igg pael (s/p/bld
100962-0,dengue ab.igg virus panel (s/p/blood)
31021-9,interferon.beta 1 neutralizing antibody [titer] in serum or plasma by neutralization test
31021-9,interferon.beta 1 neutralizing antibody [titer] in serpl serum or plasma by neutralization test
31021-9,interferon.beta 1 neutralizing antibody or in serum [titer] plasma by neutralization test
31021-9,inf-b1 nab titr serpl nt
31021-9,inf-b1 nab titr serl nt
31021-9,inf-b1 nab ifn titr serpl nt
31021-9,interferon.beta 1 neut ab neut test [titer]
31021-9,neut 1 eut ab interferon.beta tet [tte]
31021-9,interferon.beta 1 ifn neut ab neut test [titer]
100673-3,aspergillus terreus dna [presence] in blood by naa with probe detection
100673-3,aspergillus terreus dna [presence] naa blood by in with probe detection
100673-3,aspergillus terreus dna probe dna [resece]in lood by naa with probe deteion
100673-3,a terreus dna bld ql naa+probe
100673-3,a terreus naaprobe bld ql n
100673-3,a tereus na bld ql naa+prbe pr
100673-3,a. terreus dna naa+probe ql (bld)
100673-3,a. naa+probe dna terreus ql 3sr sr (bld)
100673-3,a. terreus dna (bld) ql naa+probe
27032-2,zirconium [mass/volume] in serum or plasma
27032-2,in [mass/volue] zirconium sermorplsma
27032-2,zicnium [ms/vlume] in serum or plasma quant
27032-2,zirconium serpl-mcnc
27032-2,serum or plasma-mcnc zirconium
27032-2,ronum serum or plasma-mnc
27032-2,zirconium [mass/vol]
27032-2,zirconium [mass/vol]
27032-2,zircoim [mass/vol]
40968-0,deprecated streptococcus pneumoniae 43 igg ab [mass/volume] in serum
40968-0,deprecated treptococcus pneumoniae 43 serum ab [mass/voume] spn in igg
40968-0,deprcatedstreptococcus ser iggab [mass/volume] in pneumococ neumniae43
40968-0,deprecated s pneum43 igg ser-mcnc
40968-0,deprecated s pneum43 strept igg serum-mcnc
40968-0,deprecated ser-mcnc pneum43 igg s
40968-0,s. pneumoniae 43 igg (s) [mass/vol]
40968-0,s. igg 43 pneumoniae (s) [mass/vol]
40968-0,streptococcus pneumoniae 11a s. pneumniae igg 43 s) [mas/vol]
74130-6,"6-monoacetylmorphine (6-mam) [mass/volume] in serum, plasma or blood"
74130-6,"or (-mam) mass/voume] insrum, plasm -monoactylmrphin blod"
74130-6,"6-monoacetlmorphne (6-mm) mass/volume] in serum, plama or lood"
74130-6,6mam serplbld-mcnc
74130-6,illicit 6mam serplbld-mcnc
74130-6,serplbld-mcnc qnt 6mam
74130-6,6-monoacetylmorphine (6-mam) (s/p/bld) [mass/vol]
74130-6,(s/p/bl) (6-mam) level 6-monacetylmorphie [as/vol]
74130-6,(6-mam) 6-monoacetylmorphine (s/p/bld) [mass/vol]
50771-5,ganglioside gm2 igg ab/igm ab [ratio] in serum by immunoassay
50771-5,ganglioside gm2 igg ab/igm ab [ratio] in serum iaa by immunoassay
50771-5,ganglioside gm2 immune globulin m igg ab/igm ab [ratio] in serum by immunoassay
50771-5,gm2 gangl igg/igm ser ia-rto
50771-5,gangl gm2 igg/igm ser ia-rto
50771-5,gm2 gangl igg/igm ia-rto ser
50771-5,ganglioside gm2 igg/igm ia (s) [ratio]
50771-5,ganglioside gm2 quan igg/igm [ratio] (s) ia
50771-5,ganglioside gm2 igg/igm ia (s) [ratio] antibody
60074-2,fexofenadine [mass/volume] in urine
60074-2,[mas/volume] fxofenadine inurine
60074-2,fexofenadine [mass/volume] in urine tilfur
60074-2,fexofenadine ur-mcnc
60074-2,ur-mnc exofenadie
60074-2,fexofenadine ur-cn
60074-2,fexofenadine (u) [mass/vol]
60074-2,exofenadine mass/vol] (u)
60074-2,fexfenadi (u)[mass/vol]
20941-1,deprecated phosphate [mass/volume] in serum or plasma
20941-1,deprcated phosphate serplas [mas/olume] r serum in plasma
20941-1,deprecated in [mass/volume] phosphate serum or plasma plasma
20941-1,deprecated phosphate serpl-mcnc
20941-1,deprecated serum or plasma-mcnc point in time phosphate
20941-1,serum or plasma-mcnc phosphate deprecated
20941-1,phosphate [mass/vol]
20941-1,[mass/vol] phosphorus phosphate
20941-1,quantitative phosphatmass/vl
98124-1,neutrophil.pma stimulated dhr panel by flow cytometry (fc)
98124-1,neutrophil oxidative bursts neutrophil.pma by dhr panel stimlatd low cytometry (fc)
98124-1,neutrophil.pma stimulated flow panel by dhr pan cytometry (fc)
98124-1,neut pma stim dhr pnl patient fc
98124-1,neut pma fc dhr pnl patient stim hematology/cell counts
98124-1,neut pma sm dhr pnlpatient fc
98124-1,neutrophil.pma stimulated dhr panel fc
98124-1,nutrohilpm stiulated dhr ael fc
98124-1,neutrophil.pma stimulated dhr fc panel
14836-1,methotrexate [moles/volume] in serum or plasma
14836-1,mthotrexate [oles/vlum] in serum or lasma
14836-1,methotrexate moles/volume] in drug/toxicology srum or plas
14836-1,mtx serpl-scnc
14836-1,serpl-scnc universallaborders mtx
14836-1,serplas mtx serpl-scnc
14836-1,methotrexate [moles/vol]
14836-1,methoteate [moes/vol]
14836-1,[moles/vol] methotrexate
17056-3,legionella longbeachae 2 igm ab [presence] in serum
17056-3,egionelalongbeache 2 igm antby ab [presnce] in serum
17056-3,legionella longbechae 2 igm ab [presece] in serum
17056-3,l longbeachae2 igm ser ql
17056-3,ql longbeachae2 igm ser l
17056-3,lngbeachae2 l igm ser ql
17056-3,l. longbeachae 2 igm ql (s)
17056-3,l. longbechae 2 im ql s)
17056-3,l longbeachae2 l. longbeachae 2 gm presence (s)
97650-6,desmethylcyclobenzaprine [presence] in urine by confirmatory method
97650-6,[ql] desmethylcyclobenzaprine in urine by confirmatory method
97650-6,desmethylcyclobenzaprine [presence] in urine conf by confirmatory method
97650-6,desmethylcyclobenzaprine ur ql cfm
97650-6,desmethylcyclobenzaprine ql ur cfm
97650-6,desmethylcclobenzaprine r presence cfm conf
97650-6,desmethylcyclobenzaprine confirm ql (u)
97650-6,cnfrm desmethylcyclobezaprine conirm ql u)
97650-6,l demehylcycloenzaprinecnfirm (u)
40524-1,macrophages/leukocytes in pericardial fluid by manual count
40524-1,macrophages/leukocytes fluid pericardial in by manual count
40524-1,macrophages/leukocytes fluid pericardial in by manual count
40524-1,macrophages nfr pcar manual
40524-1,anual macrphg pcar macrophagesnfr
40524-1,macrophages nfr percent manual pcar
40524-1,macrophages/leukocytes manual cnt (pericard fld)
40524-1,macrophages/lukoytes pericar cnt manual fld) macrophage
40524-1,macrophages/leukocytes manual cnt fld) percent (pericard
21368-6,levofloxacin [mass/volume] in serum or plasma
21368-6,levofxacn mass/volme or serum in plasma
21368-6,levofloxacin [mass/volume] in ser or plasma
21368-6,levofloxacin serpl-mcnc
21368-6,serpl-mcnc levolxcin
21368-6,serpl-mcnc levofloxacn
21368-6,levofloxacin [mass/vol]
21368-6,[mass/vol] levofloxacin
21368-6,[mass/vol] levofloxacin
55423-8,number of steps in unspecified time pedometer
55423-8,number fsteps n unspecified time pedometer
55423-8,number time steps in unspecified of pedometer
55423-8,# steps ?tm nrate pedometer
55423-8,# pedomeer ?tm nrate teps number rate
55423-8,?tm steps # quantitative nrate pedometer
4538-5,erythrocyte sedimentation rate [velocity] in red blood cells by wintrobe method
4538-5,erythrocyte sedimentation esr rate [velocity] in red bld cells by wintrobe method
4538-5,erhrocytesedimentation rate [velocity] in rd hematology/cell counts bld cells by wintrobe metho
4538-5,esr rbc qn wintrobe
4538-5,qn rbc esr wintrobe
4538-5,esr rbc wintrobe qn
4538-5,esr wintrobe method (rbc) [velocity]
4538-5,(rbc) point in time wintrobe metho sr [velocity]
4538-5,(rbc) wintrobe method esr [velocity]
74920-0,gamma hydroxybutyrate [moles/volume] in blood
74920-0,point in time gamma hydroxybutyrate [moles/volume] in blood
74920-0,gamma hydroxbutrate [mles/vlume] lo in
74920-0,g-oh-butyr bld-scnc
74920-0,g-oh-butyr bld-scnc
74920-0,bld-scnc g-oh-butyr
74920-0,gamma hydroxybutyrate (bld) [moles/vol]
74920-0,substance concentration gamma [moles/vol] (blood) hydroxybutyrate
74920-0,gamma hdroxybutyrate (bldmoes/vl] substance concentration
53709-2,glial nuclear type 1 ab [titer] in serum
53709-2,glial nuclear ab 1 type [titer] in serum
53709-2,glial nuclar lambert-eaton myasthenic syndrome type 1 ab [tie] in serum
53709-2,glial nuc type 1 ab titr ser
53709-2,glial nuc type 1 ab titr serum
53709-2,glial nuc type ab 1 aby titr ser
53709-2,glial nuclear type 1 ab (s) [titer]
53709-2,glial nuclear type [titer] sox1 ab (s) 1
53709-2,glial nuclear type 1 ab (s) [titer] ttr
95865-2,lcds v4.00 - swallowing/nutritional status during assessment period [cms assessment]
95865-2,lcds v4.00 - swallowing/nutritional status during assessment period [cms assessment]
95865-2,lcds pan v4.00 - swallowing/nutrtional status during assessment eriod [cms assessment]
2659-1,deprecated nitrogen
2659-1,deprcated nitrogen
2659-1,nitrogen deprecated
2659-1,deprecated nitrogen 24h stl qn
2659-1,qnt deprecated nitrogen 24h stl qn
2659-1,deprecated 24h stool = fecal itrogen stlqn
2659-1,nitrogen (24h stl) [mass]
2659-1,(24h nitrogen stl) [mass]
2659-1,nitrogen (24h [mass] stl) quan
2108-9,choriogonadotropin.alpha subunit [presence] in serum or plasma
2108-9,choriogonadotropin.alpha subunit [presence] in serum or plas
2108-9,choriogonadotropin.alpha subunit [presence] chorionic gonadotropin in serum or plasma
2108-9,a-hcg serpl ql
2108-9,a-hcg screen serpl ql
2108-9,a-cgerpl ql
2108-9,hcg.alpha subunit ql
2108-9,hcg.alpha ql subunit
2108-9,hcg.alpha subuit presence
50333-4,tetradecanedioate/creatinine [mass ratio] in urine
50333-4,tetradecanedioate/creatinine ratio] [mass in urine
50333-4,urine [mass ratio] in tetradecanedioate/creatinine
50333-4,tdecanedioate/creat ur
50333-4,mass concentration ratio ur tdecanedioate/creat
50333-4,tdecanedioate/creat ur
50333-4,tetradecanedioate/creatinine (u) [mass ratio]
50333-4,tetraecanediot/creatnin (u) ass ratio] ucr
50333-4,tetradecanediote/creatinne () [mass rtio]
5845-3,herpes simplex virus 1 ag [presence] in skin by immunofluorescence
5845-3,herpes simplex virus pr 1 ag [presence] in skin by immunofluorescence
5845-3,herpes [presence virus 1 siplx in kinby immunofluorescence
5845-3,hsv1 ag skin ql if
5845-3,hsv1 ag skin ql if skn
5845-3,i hsv1 ag kin ql if
5845-3,hsv 1 ag if ql (skin)
5845-3,ql 1 ag if hsv (skin)
5845-3,(ski) gif presence hsv
20703-5,border disease virus ag [presence] in tissue by immunofluorescence
20703-5,boder dseas virs ag [presene] in tisse by immunolurescence
20703-5,border disease virus ag [presence] immunofluorescence immunofluor tissue by in
20703-5,border dv ag tiss ql if
20703-5,dv border ag hairy shaker disease tiss ql if
20703-5,ifa borderv ag ss ql i
20703-5,border disease virus ag if ql (tiss)
20703-5,border bdv disase virusag ifql (tis)
20703-5,border virus bdv disese agif presence (tiss)
3503-0,clostebol [mass/volume] in urine
3503-0,clostene in [mass/volume] clostebol urine
3503-0,clostebol in [mass/volume] urine
3503-0,clostebol ur-mcnc
3503-0,ur-mcnc 4-chlorotestosterone clostebol
3503-0,clostebol 4-chlorotestosterone ur-mcnc
3503-0,clostebol (u) [mass/vol]
3503-0,[mss/vol] clostebol(u) random
3503-0,drugs (u)[mass/vol] clstebol
91722-9,promis item bank - physical function - version 2.0
91722-9,promis 2.0 bank - physical function - version item
91722-9,promis item bank - physical function 2.0 version -
50977-8,echovirus 5 ab [titer] in serum
50977-8,echovirus 5 ab antby [titer] in serum
50977-8,echovirus5ab serum in [titer]
50977-8,ecv5 ab titr ser
50977-8,ser ttr ab titr ecv5
50977-8,ecv5 ser titr ab
50977-8,echovirus 5 ab (s) [titer]
50977-8,echovus 5 a (s) [iter]
50977-8,antibody (s) 5 ab echovirus [titer]
90298-1,entamoeba sp dna [identifier] in stool by sequencing
90298-1,entameba sp da [idife] i stool by sqencin
90298-1,entamoba sp dna [entifi] in gastro tool by sequecing
90298-1,entamoeba dna stl seq
90298-1,entamoeba dna stl seq
90298-1,entaoea seq stl dna gi
90298-1,entamoeba sp dna sequencing nom (stl)
90298-1,dna sp entamoeba sequencing nom (stl)
90298-1,entamoeba sp dna sequencing nom (stl)
13717-4,calcium/creatinine [mass ratio] in 24 hour urine
13717-4,in ratio cal alcium/creatnine[mass 24 hour urin
13717-4,[mass calcum/ceatinine ratio]in24 hour urine
13717-4,calcium/creat 24h ur
13717-4,r calci/eat24h
13717-4,calcium/crat ur crea 24h
13717-4,calcium/creatinine (24h u) [mass ratio]
13717-4,mass ratio (24h calcium/creatinine u) [mass ratio]
13717-4,calcium/creatinine 2h [mass u) rato] crea
40926-8,streptococcus pneumoniae danish serotype 9v igg ab [mass/volume] in serum by immunoassay
40926-8,streptococcus pneumoniae danish serotype 9v igg ab [mass/volume] eia in serum by immunoassay
40926-8,strptococcus pneumoniae autoantibodies danish serotpe 9v igg a [mass/volme] in serum byimmunassay
40926-8,s pneum da 9v igg ser ia-mcnc
40926-8,s pneum pneumococcal pneumonia ser 9v igg da ia-mcnc
40926-8,s pneum da 9vigg serum ia-mcnc
40926-8,s. pneumoniae danish type 9v igg ia (s) [mass/vol]
40926-8,sr s. pnumoniae dnish type (s) iggia 9v [mas/ol
40926-8,s. pneumoniae danish type 9v igg ia (s) [mass/vol]
96762-0,barthel index panel
96762-0,index barthel panel point in time
96762-0,barthel index panel
96762-0,barthel index
96762-0,point in time index bthel
96762-0,barthel index
53025-3,gliadin ab [presence] in serum
53025-3,gliadin ab[resnce] i ser f98
53025-3,serology gliadin ab ser in [presence]
53025-3,gliadin ab ser ql
53025-3,gliadin ql ser ab
53025-3,gliadin ab autoantibody serum ql
53025-3,gliadin ab ql (s)
53025-3,serum gliadin ab ql (s)
53025-3,(s) ab ql gliadin
5681-2,manganese [mass/volume] in blood
5681-2,manganese [mass/volume] drug/toxicology i bld
5681-2,manganese in mass concentration [mass/volume] blood
5681-2,manganese bld-mcnc
5681-2,bld-mcnc manganese qnt
5681-2,mangaese bl-mcnc
5681-2,manganese (bld) [mass/vol]
5681-2,mangnese [mass/vol] (bd)
5681-2,(bld) wb manganese [mass/vol]
58441-7,other elements in urine sediment
58441-7,urine elements in other sediment
58441-7,other sediment in urine elements
58441-7,other elements urns
58441-7,other elements urn
58441-7,urns elements other
58441-7,other elements (urine sed)
58441-7,elements other (urine sed)
58441-7,other elements panel.urinalysis (urine sed)
91066-1,enterovirus rna [presence] in lower respiratory specimen by naa with probe detection
91066-1,enterovirus rna [presnce in lwer respiratory specimen by aa wit probedeection
91066-1,enterovirus rna [presence] naa lower respiratory specimen by in with probe detection
91066-1,ev rna lower resp ql naa+probe
91066-1,transcription mediated amplification ev lower rna resp ql naa+probe
91066-1,v ra lat lowe resp ql naa+probe
91066-1,enterovirus rna naa+probe ql (lower resp)
91066-1,n+probe infectious disease na enteovirus ql(loe rsp)
91066-1,enterovirus rna ql naa+probe (lower resp)
16127-3,helicobacter pylori igm ab [presence] in serum
16127-3,anti helicobacter pylori igm ab [presence] in ser
16127-3,antibodies helicobacter pylori igm ab [presence] in ser
16127-3,h pylori igm ser ql
16127-3,h pylori igm ser presence
16127-3,autoantibody pylori h igm ser ql
16127-3,h. pylori igm ql (s)
16127-3,h.ylori igm ql (s)
16127-3,h. ql igm pylori h pyl (s)
66767-5,vanillylmandelate/body weight [moles/kg/time] in 24 hour urine
66767-5,vanillymndeate/body weght mole/k/me] hour quan 24 in rie
