source_text,target_loinc
cerebropinal metamyelocytes fluid (cerebrospinal fluid),30366-9
cd71 blood,8136-4
blood cd71,8136-4
blood cd71,8136-4
blood cd71,8136-4
cd71 bod,8136-4
polys joint fluid,26522-3
polys sf fluid joint,26522-3
polys fluid joint,26522-3
joint plys lui grans,26522-3
polys fluid jon,26522-3
"barbiturate screen, urine urine",3377-9
barbiturate urine une scren,3377-9
"barbiturate screen,urine urine",3377-9
"barbiute sceen, uine urine",3377-9
"barbituate screen, urine urine",3377-9
"opiate screen, urine urine",3879-4
"opiate screen, urine urine",3879-4
"opiate urine screen, urine heroin",3879-4
"opite screen, urine urine presence",3879-4
"oiat urine uine scren,",3879-4
phenobarbital blood,3947-9
blood phenobarbtl random,3947-9
phenobarbitalblood serum or plasma,3947-9
phnobarbital bld,3947-9
blood screen phenobarbital,3947-9
monocytes blood,742-7
bld monocytes auto,742-7
monos monocytes bld,742-7
blood monocytes electr,742-7
loo monocyes automated detection,742-7
"hematocrit, other fluid other body fluid",11153-4
"other hematocrit, fluid other body fluid",11153-4
"erc hematocrit, other fluid other body fluid",11153-4
bodies hematocrt fluid other other boy fluid,11153-4
"matocrt, othe fl otherbody flud",11153-4
bilirubin crystals urine,5771-1
cstalurine iliubin,5771-1
bilirubin crystals urine,5771-1
crystals bilirubin rine,5771-1
urine crystals bilirubin,5771-1
hematocrit blood,4544-3
blood volume fraction hematocrit,4544-3
blood red blood corpuscle hematocrit,4544-3
blod auto hematocri,4544-3
red cells heatorit blood,4544-3
rapamycin blood,29247-4
lood apamycin,29247-4
mass concentration rpmycin bood,29247-4
blood rapamycin,29247-4
bld rapamin drug/toxicology,29247-4
glyco a blood,17221-3
glyco a blood,17221-3
glyco blood a,17221-3
glyco blood a,17221-3
a glyco blod,17221-3
"osmolality, body fluid other body fluid",15200-9
"other body fluid osmolality, body fluid",15200-9
"osmolality,body fluid other bdy fluid",15200-9
"osmolality, fluid body other body fluid",15200-9
"bod osmolality, body fluid other body fluid",15200-9
"calculated bicarbonate, whole blood blood",1959-6
"calculated bicarbonate, whole blood blood",1959-6
"blood icarbonate,whole calculatd hco3 blood",1959-6
"bicar calculated bcarbonate, hol bld bld",1959-6
"blood bicarbonate, quan whole calculated blood",1959-6
"glucose, body fluid other body fluid",2344-0
"gucose, luid body oher body fuid",2344-0
"glucos, body fluid other body fluid",2344-0
"glucose, body fluid other body fluid",2344-0
"cose, body b/f fuidother body fuid",2344-0
alanine aminotransferase (alt) blood,1742-6
alanine universallaborders aminotransferase (alt) blood,1742-6
alaine random bloo alt) minotansferase,1742-6
alanine blood (alt) aminotransferase,1742-6
blood amintrnserase (alt alanne,1742-6
urine volume urine,28009-9
uinvum urine,28009-9
uine volume urine,28009-9
uine volumeurine,28009-9
urine urine volume,28009-9
plasma cells blood,13047-6
blood cells lkcs plasma,13047-6
quantitative plasma cells blood,13047-6
blood cells plasma,13047-6
plasma cells blood quant,13047-6
cd16/56 blood,18267-5
blod cd1656,18267-5
cd6/56 blood,18267-5
blood cd16/56,18267-5
blood cd16/56,18267-5
monocyte count blood,26484-6
monocyte count blood,26484-6
monocyte count monocyte blood,26484-6
count monocyte blood,26484-6
blood onocte cout blood,26484-6
cd33 blood,8102-6
cd33 lood,8102-6
cd33 lod,8102-6
cd33 blood,8102-6
cd3 blood,8102-6
cd5 bone marrow,35640-2
bone cd5 marrow,35640-2
bone cd5 marrow,35640-2
cd5 marrow bone,35640-2
bone cd5 arow,35640-2
"chloride, ascites ascites",33366-6
"chloride, ascites ascites",33366-6
"ascites ascites chloride,",33366-6
"ascites ascites chloride,",33366-6
"ascites ascites chloride,",33366-6
potassium blood,2823-3
plasma bld potasium,2823-3
blood potassium,2823-3
blood potassium,2823-3
bld potassium,2823-3
n-acetylprocainamide (napa) blood,3834-9
blod (napa) n-cetylprocainamde,3834-9
n-acetylprocainamide blood acetylprocanam (napa),3834-9
n-acetylprocainamide quan blood (napa),3834-9
n-acetylprocainamide (napa) level blood,3834-9
"protein c, antigen blood",27820-0
"protein c, antigen lood",27820-0
"protein antigen c, blood",27820-0
"protein blood antigen c,",27820-0
"protein c, blood antigen",27820-0
cd38 other body fluid,51299-6
flui thero d38,51299-6
cd38other body flui,51299-6
other cd38 body fluid,51299-6
cd38 body other fluid,51299-6
length of urine collection urine,13362-9
length of urne cllecton urine,13362-9
lengh f urinecollection uine,13362-9
urine of length collection urine,13362-9
of length urine collection urine,13362-9
free calcium blood,1994-3
free blood calcium,1994-3
quan feeclciumblood,1994-3
free clium blood,1994-3
blood calcium free,1994-3
cd2 other body fluid,17827-7
fluid other body cd2,17827-7
cd2 fluid body other,17827-7
other cd2 body fluid,17827-7
cd2 body other fluid,17827-7
sex hormone binding globulin blood,2942-1
sex binding hormone globulin blood random,2942-1
sex hormone binding globulin blood,2942-1
sex chemistry hrmoe bning globulin blood,2942-1
sex hormone globulin binding blood,2942-1
"methadone, urine urine",3773-9
"urine urine methadone, ordinal",3773-9
"methadone, urie urne",3773-9
"methadone, pr urine urine",3773-9
"urine urine dolophine methadone,",3773-9
factor viii blood,3209-4
factor iii blood,3209-4
factor blood viii,3209-4
actor vii blood,3209-4
factor viiiblood,3209-4
fragmented cells blood,10373-9
fragmented cells bld,10373-9
blood micro cells fragmeted,10373-9
fragmented cells blood,10373-9
fragmnted cells loo screen,10373-9
"protein s, antigen blood",27823-4
"protein antigen s, blood",27823-4
"bood anigen prins,",27823-4
"s, proein antigen blood",27823-4
"blood s, antigen protein",27823-4
homocysteine blood,13965-9
bld heart disease homocysteine,13965-9
blod substance concentration homocyteine,13965-9
sr homocsteineblood,13965-9
homocysteine quantitative blood,13965-9
cd64 other body fluid,51366-3
cd64 fuid body other,51366-3
body other cd64 fluid,51366-3
cd64 body other fluid,51366-3
d64 flui body ther,51366-3
tobramycin blood,35670-9
blod tbramycin,35670-9
blood tobrmycin,35670-9
blood tobramycin,35670-9
tobramycin drugs blood,35670-9
transferrin blood,2500-7
blod serum transferin,2500-7
transerrin bld,2500-7
serplas blood transferrin,2500-7
rsferrin bld,2500-7
monocytes ascites,26488-7
mooyes number fraction ascites,26488-7
ascites monocytes,26488-7
ascites monocytes,26488-7
monocytes ascites,26488-7
porphobilinogen screen urine,2809-2
urine screen porphobilinogen,2809-2
screnurie porphobili porphoilinogen,2809-2
screen porphobilinogen porphoblngn urine,2809-2
porphobilinogen screen ordinal urine,2809-2
large platelets blood,34167-7
lareplteletsblood,34167-7
platelets large blood,34167-7
large pateets bld elec,34167-7
large platelets bld,34167-7
cyclosporin blood,3521-2
blo cyclospori,3521-2
lood cyclospoin,3521-2
drug/toxicology cyclosprin blood,3521-2
cyclosporinblood quantitative,3521-2
trichomonas urine,32724-7
urine trichomonas,32724-7
screen trichomonas urine,32724-7
trichomonas uine,32724-7
trichomonas urine,32724-7
osmotic fragility blood,34964-7
osmotic blood fragility nominal,34964-7
omoticfragilty blood,34964-7
osmotic blood fragility impression/interpretation of study,34964-7
blood fragility osmotic,34964-7
basophils ascites,35069-4
ascites qnt basophils,35069-4
basophil asctes,35069-4
ascites basophils,35069-4
ascites basophils,35069-4
"potassium, body fluid other body fluid",2821-7
"fluid bod fluid potassium, therody fluid",2821-7
"potassium, bodyflui k other body flui",2821-7
"potassum, body fluid oher random body fui",2821-7
"potassium, body fluid other fluid body fl",2821-7
burr cells blood,7790-9
ordinal burr cells bld,7790-9
burr whole bld cells bld,7790-9
burr microscopic cells bld,7790-9
burr microscopic cells blood,7790-9
"po2, body fluid other body fluid",2706-0
"po2, bodyfluidother chemistry bod flid",2706-0
"fluid body fluid oher fluid body po2,",2706-0
"po2, boyfud fluid body other",2706-0
"po2, body po2 fluid other body fluid",2706-0
macrophage cerebrospinal fluid (csf),30426-1
cerebrospinal macrophage fluid (cerebrospinal fluid),30426-1
fluid cerebrospinal macrophage (cerebrospinal fluid),30426-1
macrophage cerebrospinal fluid (csf),30426-1
fluid macrophagecerbrospnal (csf) spinal fl,30426-1
"calcium, urine urine",2004-0
"calcium, quantitative urine u",2004-0
"urine calcium, urine quan",2004-0
"qnt urine urine calcium,",2004-0
calciumurineurine,2004-0
broad casts urine,18487-9
broad casts urine,18487-9
road casts urine,18487-9
casts broad urine,18487-9
bod cat urine,18487-9
other cells blood,729-4
bld cells other,729-4
qnt other cells bld,729-4
other cells blood abs,729-4
other cells wbc blood,729-4
atypical lymphocytes cerebrospinal fluid (csf),30416-2
quan typical lymphocyts crebrospinal flui csf),30416-2
atypical spinal fld lymphocytes cerebrospinal fluid (csf),30416-2
atypical lymphocytes leukocyte cerebrospinal (csf) fluid,30416-2
(cf) lymphocyt cerebrospnal fluid cerebrospinal fl atypicl,30416-2
"thyroxine (t4), free blood",3024-7
"bld tyroxine(t4),fee t4 free",3024-7
thyoxine free (t4) thyroxin blod,3024-7
