source_text,target_loinc
tricyclic antidepressant screen blood,4073-3
blood ql anidepessant screen tricycli,4073-3
pr tricyclic antidepressant screen blood,4073-3
antidressant triyclc screen bood,4073-3
tricyclic antidepressant screen blood,4073-3
"pco2, body fluid other body fluid",2023-0
"bod pco2, body fluid other body fluid",2023-0
"po2, chemistry body fluid otr boy luid",2023-0
"pco2,body fluid carbonic anhydride fluid body other",2023-0
"body pulmonology body fluid other pco2, fluid",2023-0
"bilirubin, direct blood",1968-7
"bili-alb bilirubin, direct bld",1968-7
"bilirubin, universallaborders direct blood",1968-7
"irect biliubin, bld",1968-7
"bilirubin,drect blod",1968-7
"ethanol, urine urine",5644-0
"ehanol, urine rine",5644-0
"ethanol, urine urine",5644-0
"urn urine urine ethanol,",5644-0
"ethanol, urine urine urn",5644-0
cd41 other body fluid,51320-0
cd41 fluid body other,51320-0
cd41 other body fluid,51320-0
cd41 othr luid body,51320-0
fluid other body cd41,51320-0
red blood cells blood,789-8
red bld cells bld,789-8
cellsblood blood erythrocyte red,789-8
red blood cels blod,789-8
red blood cells blood number concentration,789-8
"hematocrit, csf cerebrospinal fluid (csf)",30398-2
"hmatocrit, csf fuid cerebrospinal (csf)",30398-2
"cerebrospinal csf hematocrit, fluid (csf",30398-2
"hematocrit, csf cerebrospinal fluid (csf)",30398-2
"spec hematocrit, cerebrospinal fluid cerebrospinal (cerebrospinal fluid) fluid",30398-2
cd56 other body fluid,57424-4
body other cd56 fluid,57424-4
cd56 other fluid body,57424-4
othe cd56 bdy flid,57424-4
body oher cd56 fluid,57424-4
eosinophils pleural,30379-2
pleural eosinophils,30379-2
eosinophils leukocyte pleural,30379-2
eosiophilspleural,30379-2
eosinophils eos pleural,30379-2
atypical lymphocytes other body fluid,30417-0
atypical lphocytes hematology/cell counts body other fluid,30417-0
atypical lymphocytes fluid body other,30417-0
other lymphocytes atypical body fluid,30417-0
atypical lymphocytes other body fluid,30417-0
"protein, total blood",2885-2
"protein, total bld serpl",2885-2
"total protein, blood",2885-2
"total protein, blood",2885-2
"universallaborders protein, total blood",2885-2
total collection time urine,13362-9
total colletion tme urine,13362-9
total urine time collection,13362-9
totl ollection time urine,13362-9
total urine time collection,13362-9
sex hormone binding globulin blood,2942-1
hrmne se bindng globulin blood,2942-1
sex shbg hormone globulin binding blood,2942-1
hormone sr sex biing gobulin blood,2942-1
sex binding hormone globulin blood,2942-1
alpha-fetoprotein blood,1834-1
quan alpha-fetoproteinblod,1834-1
bld serum or plasma alpha-fetoprotein,1834-1
alpha-feooteinblood tumor marker,1834-1
blood alpha-fetoprotein,1834-1
basophilic stippling blood,703-9
aophilic stiplng blood,703-9
basophilic stippling bld,703-9
bsophic tippling blood,703-9
ordinal basophiic stipplingblod,703-9
cryoglobulin blood,5117-7
cryoglbulin blood ql,5117-7
bod cyolobulin,5117-7
bld cryoglobulin,5117-7
blood cyoglbuln,5117-7
po2 blood,11556-8
blood po2,11556-8
bld po2 quantitative,11556-8
po2 bld,11556-8
blood po2 respiratory,11556-8
cd7 bone marrow,35641-0
cd7 bone marrow,35641-0
marrow bone cd7,35641-0
arrow bone c7,35641-0
c7 bo marrow,35641-0
"barbiturate screen, urine urine",3377-9
"barbiturate urine urine screen,",3377-9
"barbiturat screen, uine urie",3377-9
"barbiturate screen, urine urine random",3377-9
"barbiturate screen, ure urie",3377-9
ph blood,11558-4
bod ph pulmonology,11558-4
blood ph,11558-4
chemistry bood p,11558-4
bld pulmonary ph,11558-4
sodium blood,2951-2
sodim blood serum,2951-2
blood sodium ser,2951-2
blood sodium,2951-2
odium bloo,2951-2
osmotic fragility blood,34964-7
hematology/cell counts osmotic blood fragility,34964-7
osmic fragliy blood red blood cells,34964-7
fagilityblood osmotic,34964-7
fagt osotic blood fragil,34964-7
blood urine,5794-3
blood rine,5794-3
urine blood,5794-3
urine blood,5794-3
urine blood,5794-3
eosinophils other body fluid,26452-3
eosinophils other body fluid,26452-3
eos einophils otherbodyfluid,26452-3
fl eosinophils other body fluid,26452-3
eosinophis eosinophil other body flid,26452-3
"osmolality, body fluid other body fluid",15200-9
"body osmolality, fluid other body fluid",15200-9
"osmolality, body fluid oth fld body fluid",15200-9
"osmlality, body fuid chemistry hr body flid",15200-9
"osmolality, body luid bod other body fluid",15200-9
"chloride, urine urine",2078-4
chloride urine cl- urine,2078-4
"chlord, uine urine ur",2078-4
"urine urine chlride, qnt",2078-4
"chloride, urine urine",2078-4
calculated total co2 blood,34728-6
ctco2 alculated total co blood,34728-6
blood total co2 calculated level,34728-6
total calculated co2 blood,34728-6
co2 total calcuated bood,34728-6
"phosphate, body fluid other body fluid",12242-4
"phosphate, body fluid bf other body fluid",12242-4
"phosphae, bodyfluid fluid body oher",12242-4
"random phosphate, body fluid other body fluid",12242-4
"quan phosphate, body fluid fluid body other",12242-4
"hcg, urine, qualitative urine",2106-3
"hg urin, qualitatie urine",2106-3
"urine, hcg, qual urine",2106-3
"qualitative urine, cg, urin",2106-3
"hcg, urin, qualitativ urine ob",2106-3
factor xii blood,3232-6
acto blood xii,3232-6
factor xii bloo,3232-6
xii factor blood,3232-6
xii factor blood,3232-6
factor viii blood,3209-4
factor blood viii,3209-4
viii factor blood,3209-4
factor viii bloo,3209-4
blood viii factor,3209-4
hematocrit urine,17809-5
rine hematorit,17809-5
hematocrit urine,17809-5
urine hematocrit ur,17809-5
hematocrit urine hematology/cell counts,17809-5
"reticulocyte count, manual blood",31112-6
"reticulocyte red cell count, blood manual",31112-6
"reticulocyte rbcs blood manual count,",31112-6
"reticulocyte count, manual bld bld",31112-6
"retiuocyte count, manual blood",31112-6
c-reactive protein blood,1988-5
blood protein c-reactive,1988-5
c-reactive blood protein,1988-5
proein c-reactve serplas blo,1988-5
c-reactive qnt protein blod,1988-5
bilirubin crystals urine,5771-1
ilirin cryals uine,5771-1
bilrubin urine rystals,5771-1
urin crytals biliubn,5771-1
crystals bilirbin uine,5771-1
eosinophils joint fluid,17834-3
eosiophil joint fli,17834-3
joinfud eosinophils white blood cell,17834-3
joint eosiophis fuid,17834-3
fluid joint fld joint eosinophils,17834-3
hyaline casts urine,5796-8
casts hyaline urine,5796-8
urie cst hyaline,5796-8
urine cast hyalin,5796-8
hyalin cats uine,5796-8
cd16/56 blood,18267-5
blood d16/56,18267-5
blood cd16/56,18267-5
blood cd16/56,18267-5
cd16/5 blood,18267-5
bicarbonate blood,1963-8
bicarbonate quan blood,1963-8
bicaroate blood,1963-8
blood bicarbonate,1963-8
bicarbonate bld,1963-8
ammonia blood,16362-6
blood ammonia,16362-6
blood ammonia,16362-6
ammonia blood,16362-6
blood ammonia amon,16362-6
factor vii blood,3198-9
blood vii factor,3198-9
factor blood vii,3198-9
actor vii blood,3198-9
blood factorvii,3198-9
"amylase, ascites ascites",1797-0
"amylase, ascites ascites",1797-0
"ascites ascites amylase, gastro",1797-0
"ascites ascites ascitis amylase,",1797-0
"amylase, amyl ascites ascites",1797-0
hiv antibody blood,5220-9
hiv antibody bloo,5220-9
hiv microbiology antibody bloo,5220-9
antby blood antibody hiv,5220-9
hiv ntibdy blood,5220-9
"uric acid, urine urine",3086-6
"uric urn urine acid, urine",3086-6
"uric urine acid, urine",3086-6
"uric aci, uric acid urine urine",3086-6
"uric urine acid, urine qnt",3086-6
cd59 bone marrow,51358-0
bone cd59 marrow,51358-0
cd59 one arow,51358-0
bone cd59 marrow,51358-0
bone cd59 marrow,51358-0
cd10 bone marrow,51216-0
marrow bone cd10,51216-0
cd10 one marrow,51216-0
c10 bone marow,51216-0
cd10 ne marrow,51216-0
oxygen blood,19994-3
blood oxygen,19994-3
blood oxygen,19994-3
oxygen blood,19994-3
oxge blood,19994-3
cholesterol ratio (total/hdl) blood,9322-9
cholesterol ratio blood (total/hdl),9322-9
cholesterol ratio blood (total/hdl),9322-9
cholesterol ratio (total/hdl) bld,9322-9
cholesterol ratio (total/hdl) blood,9322-9
cd22 blood,14017-8
blood cd22,14017-8
blood cd22,14017-8
blood cd22,14017-8
cd22 blood,14017-8
thyroglobulin blood,3013-0
thyroglbn thyroglobulin blood,3013-0
blood thyroglobulin serplas,3013-0
bld thyroglobulin serp,3013-0
blood troglobuin,3013-0
"urine volume, total urine",28009-9
"urinevolume, total rine",28009-9
"urine volum, urine total",28009-9
"urine urie volume,total",28009-9
"urine total volume, urine",28009-9
glucose blood,2339-0
glucose blood,2339-0
wb glucoseblood,2339-0
blood glucose,2339-0
bld endocrine glucose,2339-0
carboxyhemoglobin blood,20563-3
blood carboxyhemoglobin,20563-3
carboxyhemoglobin blood,20563-3
universallaborders blood carboxyhemoglobin,20563-3
blood carbonyl hgb carboxyhemoglobin,20563-3
plasma cells pleural,40522-5
manl lam cells pleral,40522-5
hematology/cell counts pleural cells plasma,40522-5
plasma pleural cells,40522-5
plas quant cells pleural,40522-5
thyroxine (t4) blood,3026-2
thyroxine (t4) blood,3026-2
thyroxine (t4) blood mass concentration,3026-2
thyroxin blod t4),3026-2
thyroxine (t4) levothyroxine blood,3026-2
cd33 bone marrow,51293-9
cd33 marrow bone,51293-9
bone cd33 marrow,51293-9
bone cd33 marrow,51293-9
arrow one d33,51293-9
gastrin blood,2333-3
chemistry gatrinblood,2333-3
gastrin blod,2333-3
blod gastrin,2333-3
gastn bood,2333-3
quinidine blood,6694-4
blood quinidine,6694-4
mass concentration quinidine blood,6694-4
blood qnt quinidine,6694-4
quinidine blood,6694-4
calcium phosphate crystals urine,5775-2
phosphate calcium crystals urine,5775-2
calcium phosphate rne crystals,5775-2
calcium crystals phosphate urine,5775-2
crystals phosphate calcium urine,5775-2
cortisol blood,2143-6
cortisol blood,2143-6
cortisol ood,2143-6
cortisol blood,2143-6
blood cortisol,2143-6
cd16 blood,8115-8
blood cd16,8115-8
blood cd16,8115-8
blood cd16,8115-8
blood cd16,8115-8
cd5 other body fluid,57423-6
body other cd5 fluid,57423-6
fluid otherbody cd5,57423-6
cd5 other fluid body,57423-6
d5 ody othr fluid,57423-6
large platelets blood,34167-7
large platelets blood elect,34167-7
wb large platelets blood,34167-7
large plt platelets bld,34167-7
blood thrombocyte platelets large,34167-7
basophils blood,704-7
basophils blood,704-7
blood basophils,704-7
basophils qnt blood,704-7
basophils bld elect,704-7
potassium blood,2823-3
blod ptassium,2823-3
blood serpl potassium,2823-3
blood serum potassium,2823-3
universallaborders blood potassium,2823-3
antithrombin blood,27811-9
blood antithrombin,27811-9
bloo antithrombin,27811-9
blood antithrombin,27811-9
blood antithrombin,27811-9
potassium other body fluid,2821-7
fluid otherbody otassium,2821-7
k other poassium bdyfluid,2821-7
potassium oher body flui,2821-7
potassium body other fluid,2821-7
"chloride, ascites ascites",33366-6
"chloride, ascites ascites",33366-6
"quantitative ascites chloride, ascites",33366-6
"chloide, ascts quant ascites",33366-6
"chloride, ascites ascites",33366-6
polys ascites,26520-7
poysascites,26520-7
ascites poly,26520-7
ascites polys ascitic fluid,26520-7
ascites polys,26520-7
cd19 other body fluid,17829-3
fluid other body cd19,17829-3
fluid other body cd19,17829-3
fluid other body cd19,17829-3
fluid other body cd19,17829-3
"cd3 cells, percent blood",8122-4
"pecet cells, cd blood",8122-4
"cd3 cells, percnt blood",8122-4
"boo cels, ercet cd3",8122-4
"cd3 cells, blood percent",8122-4
"cholesterol, body fluid other body fluid",12183-0
"chlesterol, body fluid other ody fluid",12183-0
"holestro, ody othe fuid body fluid",12183-0
"cholesterol, body fluid other body fluid",12183-0
"cholestel, body luid other fluid body choles",12183-0
white blood cells blood,804-5
white blood wb cells blood,804-5
white blood count/volume cells blood,804-5
white bld cells bld,804-5
white bld cells bld,804-5
polychromasia blood,10378-8
polychromasia bld,10378-8
polycromasia blo,10378-8
polychrmasia lm bld,10378-8
blood polychromasia,10378-8
monos pleural,33362-5
leuk monos pleural,33362-5
pleural mono,33362-5
monos leural,33362-5
peural leukocyte onos,33362-5
anti-mitochondrial antibody blood,14236-4
random anti-mitochondrial antibody blood,14236-4
anti-mitochondrial blood antibody,14236-4
anti-mitochondrialantibody blood,14236-4
atimitochondrilantibody blood ama,14236-4
ptt blood,3173-2
blood ptt,3173-2
blood ptt,3173-2
pttblood,3173-2
pttblod,3173-2
"benzodiazepine screen, urine urine",3390-2
"benzodiazepine pr screen, rine urie",3390-2
"benzodiazepin screen, benzodiaz urine urine",3390-2
"screen, benzodiazepine urine urine",3390-2
"benzdiazepine screen,uin urine pr",3390-2
broad casts urine,18487-9
broad casts uine,18487-9
urine casts broad,18487-9
urine casts broad,18487-9
brad casts rine,18487-9
"amylase, urine urine",1799-6
"urine amylase, amyl urine",1799-6
"rine urine amylase,",1799-6
"amylase, urine urine diastase",1799-6
"amylse, urin urie",1799-6
"pep, csf cerebrospinal fluid (csf)",24352-7
"pep, spinal fld csf csf (csf)",24352-7
"cerebrospinal csf pep, fluid (csf)",24352-7
"pep, cerebrospinal fluid cerebospinal fluid quan (cerebrospinal fluid)",24352-7
"pep, cerebrospinal csf fluid (csf)",24352-7
"bicarbonate, stool stool",14040-0
"quantitative bicarbonate, stool stool",14040-0
"ctco2 bicarbonate, stoltol",14040-0
"stoolstool bicaronte,",14040-0
"qnt bicarbonate, stool stool",14040-0
cd23 blood,14018-6
blood cd23,14018-6
cd23 bood,14018-6
cd23 bloo,14018-6
blood cd23,14018-6
immunoglobulin a blood,2458-8
immunoglobulin pl a blood,2458-8
immunoglobulin a bld plsm,2458-8
immunoglbulin a bld,2458-8
a immunoglobulin blood,2458-8
cd15 other body fluid,51252-5
cd15 fluid body other,51252-5
cd15 other fluid body,51252-5
cd15 other fluid body,51252-5
other cd15 body fluid,51252-5
plasma other body fluid,17803-8
other plasma body fluid,17803-8
plasma ther quant bdyflid,17803-8
lasma ther body fluid,17803-8
plasma number fraction other body fluid,17803-8
von willebrand factor activity blood,6014-5
vn willebnd factor acivity bloo,6014-5
von blood factor activity willebrand,6014-5
von willebrad activity factor blod,6014-5
willebrand von factor activity blood,6014-5
inr(pt) blood,5895-7
blood inr(pt),5895-7
blood inr(pt),5895-7
blood inr(pt),5895-7
r(pt) ood,5895-7
factor ii blood,3289-6
factor ii bood,3289-6
ii factor blood,3289-6
blood ii factor,3289-6
factor ii blood,3289-6
promyelocytes blood,781-5
promyeloytes blood heme,781-5
bld promyelocytes,781-5
quan blood promyelocys,781-5
blood promyelocytes,781-5
"reticulocyte count, automated blood",17849-1
"discocytes reticulocyte count, automated blood",17849-1
reticuloyte count red bld corpusles atomated bood,17849-1
"reticuloct automated coun, red bld corpusles blo",17849-1
"blood qnt count, automated reticulocyte",17849-1
prolactin blood,2842-3
blood prolactin chemistry,2842-3
prolactin plasma blo,2842-3
blood prolctin,2842-3
bld prolactin,2842-3
lactate dehydrogenase (ld) blood,2532-0
lactat dehydoenase (ld) blood,2532-0
lactate dehydrgenase (ld) bld,2532-0
serum or plasma blood dehydrogenase (ld) lactate,2532-0
dehydrogenase lactate (ld) blood,2532-0
cd33 other body fluid,51294-7
cd33 other fluid body,51294-7
cd33 oher boy fluid,51294-7
cd33 fluid body other,51294-7
body other cd33 fluid,51294-7
anisocytosis blood,702-1
anisocytosis blood whole blood,702-1
anisotosi hematology/cell counts blood,702-1
anisocytosis whole bld bld,702-1
lm anisocytosis blood,702-1
cyclosporin blood,3521-2
cclosporin blod,3521-2
cyclosporin blood,3521-2
blood cyclosporin,3521-2
blood cyclosporin,3521-2
von willebrand factor antigen blood,6012-9
willebrand von factor antigen blood,6012-9
antien factor vonwillebrand blod,6012-9
antigen willebrand factor vn blod,6012-9
vn willerand fctr antien blood,6012-9
fmc-7 blood,17220-5
fmc-7blod,17220-5
fmc-7 bood,17220-5
fmc-7 blood,17220-5
blood fmc-7,17220-5
"amphetamine screen, urine urine",3349-8
"screen, ql amphetamine urine urine",3349-8
urne amph cren rine amphetamine,3349-8
"urn amphetamine screen, urine urine",3349-8
"amphetamne amph urineurie screen,",3349-8
pappenheimer bodies blood,7795-8
bodies pappenimr bld,7795-8
pappenheimer ql bodies bld,7795-8
pappenheimer bld bodies,7795-8
bood bodes point in time papeneimer,7795-8
"amylase, joint fluid joint fluid",14388-3
"amylase, ont syn fl flud joint fluid",14388-3
"amylase, fluid joint joint fluid",14388-3
"joint amylase, fluid joint fluid",14388-3
"amylase, joint flud join fluid",14388-3
basophils other body fluid,28543-7
fluid other body basophis,28543-7
basophils fluid body white blood cell other,28543-7
basophils other fluid body,28543-7
fluid other bod basophils,28543-7
"urea nitrogen, body fluid other body fluid",3093-2
"othe itroen, body fluid fluid urea body fluid",3093-2
"fld quantitative nitrogen,body urea other bodflid",3093-2
"quan fluid nitrogen, body urea other body fluid",3093-2
"urea nitrogen, bodyfluid other body fluid",3093-2
"bicarbonate, urine urine",1964-6
"urine bicarbonate, urine",1964-6
"bicaronate, urine uine",1964-6
"bicarbonate, urine quant urine",1964-6
"urine urine bicarbonate,",1964-6
hepatitis b surface antibody blood,5193-8
hepatitis b surface antibody blood,5193-8
b hepatitis surface antibody sr bld,5193-8
hepatitis b surace antiboyblood,5193-8
hepatitis b surface antibody blood,5193-8
young cells blood,51633-6
random cells young blood,51633-6
yong cells blood,51633-6
young young platelets cells blood,51633-6
bld cells young,51633-6
"bilirubin, total, ascites ascites",14422-0
"total, bilirubin, ascites ascites",14422-0
"random bilirubin, total, ascites ascites",14422-0
"quan bilirubin, total, ascites ascites",14422-0
"bilirubin, total, ascites acites",14422-0
macroovalocytes blood,10376-2
micro bld macroovalocytes,10376-2
macroovalocytes blood,10376-2
macoovalocyts blood,10376-2
maroovalocytes blod micros,10376-2
cd14 bone marrow,32507-6
cd4 boe mrow,32507-6
marrow bone cd14,32507-6
marrow bone cd1,32507-6
cd14 marrow bone,32507-6
"rbc, pleural pleural",26456-4
"rbc, pleural pleural",26456-4
"rbc, pleral pleural",26456-4
"rbc, pleua pleural",26456-4
"number concentration (count/vol) rbc, pleural pleral",26456-4
cd7 other body fluid,57425-1
cd7 fluid body other,57425-1
other cd7 body fluid,57425-1
fluid other body cd7,57425-1
fluid other body cd7,57425-1
<albumin> cerebrospinal fluid (csf),1746-7
<albumin> cf) luid cerebrosinal,1746-7
fud albumin>ceebrospinal (csf),1746-7
<albuin>cerebrospinafluid(cerebrospinal fluid) cerebrospinal fl,1746-7
spinal fluid <albumin> ceebrospinl fuid (csf),1746-7
"iron binding capacity, total blood",2500-7
"total binding capacity, iron blood",2500-7
"iron binding capacty, tot blod",2500-7
"capacity, binding iron total bld point in time",2500-7
"ion bindin cpcity, sr tota blood",2500-7
"creatinine, body fluid other body fluid",12190-5
creinie b/f ohe flui body body luid,12190-5
"creatinine, od fuid other body fluid",12190-5
"creatinine, fluid body other body cr fluid",12190-5
"creatinine, boy fluidther body fluid",12190-5
c4 blood,4498-2
blood c4,4498-2
c4 bld,4498-2
c4 bld,4498-2
blod quan c4,4498-2
ph urine,5803-2
urine ph,5803-2
urine ph,5803-2
urine h,5803-2
urine ph,5803-2
beta-2 microglobulin blood,32731-2
beta-2 microglobulin beta2 glob bld,32731-2
beta-2 microglobulin bld,32731-2
microglobulin beta-2 blood,32731-2
beta-2 mirogloulin bld,32731-2
phenobarbital blood,3947-9
blood phenobarbital,3947-9
blood phenobarbital,3947-9
blood phenobarbital drug/toxicology,3947-9
phenobarbital blood,3947-9
"chloride, stool stool",15158-9
"stool stool chloride,",15158-9
"chlorid, stool sool",15158-9
"stool chloride, stool",15158-9
"chloride, stool stool",15158-9
"wbc, csf cerebrospinal fluid (csf)",26465-5
"wbc, (csf) crebrospinal fluid csf",26465-5
"wbc, csf (csf) fluid cerebrospinal",26465-5
"wbc,csf cerebrospinal lud (sf)",26465-5
"fluid csf cerebrospinal wbc, (csf)",26465-5
transitional epithelial cells urine,30089-7
cells epithelial transitional urine,30089-7
epithelial transitional cells urine,30089-7
transitial eitheial cells urie,30089-7
transitional epithelial cells urine,30089-7
estimated gfr (mdrd equation) blood,33914-3
estimated blood (mdrd equation) gfr,33914-3
estimatedfr (mdrdeqution) blood,33914-3
estimated gfr (mdrd equation) blood,33914-3
estimated gfr (mdrd equation) bld,33914-3
sedimentation rate blood,4537-7
velocity dmentaionrae blod,4537-7
random sedimentation rat lood,4537-7
sedimenation rate blood red blood cells,4537-7
sedimentation blood qnt rate,4537-7
cd138 other body fluid,42871-4
cd138 other fluid body,42871-4
cd138otr body fluid,42871-4
body other cd138 fluid,42871-4
cd138 body other fluid,42871-4
polys other body fluid,26518-1
polys other body fluid,26518-1
pls othr bdy flid,26518-1
other polys body fluid,26518-1
body he polys fluid,26518-1
cd10 other body fluid,51217-8
fluid other body cd10,51217-8
fluid other body cd10,51217-8
cd10 other bod fluid,51217-8
bodyfluid other cd1,51217-8
ketone urine,5797-6
ketne urie,5797-6
urne ketone,5797-6
ketone urne,5797-6
urine ketone,5797-6
nucleated red cells blood,772-4
nuc uclated red cellsblood,772-4
nucleated red cells bld,772-4
nucleated red wb ells blood,772-4
red nucleated cells blood,772-4
hemogloblin a blood,10346-5
heogoblin a blood,10346-5
hemogloblin electro a blod,10346-5
hba hemgloblin a blood,10346-5
hemogloblin alood haemoglobin,10346-5
lymphocytes ascites,26482-0
ascites leukocyte lympocyes,26482-0
lymphocytes ascites quant,26482-0
ascites lymphocytes leukocyte,26482-0
ascites lymphocytes,26482-0
alveolar-arterial gradient blood,19991-9
blood gradient alveolar-arterial,19991-9
blood gradient alveolar-arterial,19991-9
blood gradient alveolar-arterial,19991-9
alveolar-arterial blood gradient,19991-9
acetone blood,5567-3
drugs ctone bld,5567-3
acetone bld,5567-3
acetone serplas bld,5567-3
acetone bld,5567-3
centromere blood,16570-4
cetromerblood,16570-4
blood centromere,16570-4
centrome autoantibody blood,16570-4
blood centromere serology,16570-4
marijuana urine,3427-2
urine arijuana marijuana,3427-2
urine marijuana,3427-2
urie marijuana drugs,3427-2
ua urine marijuana,3427-2
sickle cells blood,801-1
sickle cells bld,801-1
sickle cells blood,801-1
sicke bloo micro cels,801-1
sickle cells blood,801-1
cd16/56 other body fluid,18268-3
fluid other body cd16/56,18268-3
other cd16/56 body fluid,18268-3
other cd16/56 body fluid,18268-3
cd16/56 body other fluid,18268-3
absolute cd4 count blood,8128-1
absolute blood count cd4,8128-1
absolute cd4 blood count,8128-1
absolute count cd4 blood,8128-1
