source_text,target_loinc
blood neutrophils,761-7
blood neutrophils,761-7
prolactin blood,2842-3
prolactin blood,2842-3
bloo quan prolactin,2842-3
prolactinblood plasma,2842-3
prolactin blood lactotropin,2842-3
"hepatitis b core antibody, igm blood",31204-1
"b hepatitis core universallaborders antibody, igm bld",31204-1
"hepatiti bcore antibody, hepatis igm blood",31204-1
"igm b ql ore antibody, hpatitis blood",31204-1
"hepatitis b igm antibody, core blood hepb",31204-1
po2 blood,11556-8
respiratory po2 bld,11556-8
bld po2,11556-8
blood po2,11556-8
po2lod qnt,11556-8
globulin blood,2336-6
blood globulin quantitative,2336-6
globulin bld,2336-6
blood globulin,2336-6
blood globulin,2336-6
parathyroid hormone blood,2731-8
bld hormone parathyroid,2731-8
hormone parathyroid blood,2731-8
parathyroid intact parathormone hormone blood,2731-8
parathyroi blood rmone,2731-8
cd7 blood,8135-6
blood cd7,8135-6
blood cd7,8135-6
cd7 bloo,8135-6
blood cd7,8135-6
carcinoembyronic antigen (cea) blood,2039-6
bld level antigen (cea) carcinoembyronic,2039-6
carcinoembyronic antigen tumor marker (cea) blood,2039-6
arcinoemyroic antigen (cea) blood,2039-6
carciebyronc antigen (cea) antigens blod,2039-6
"urea nitrogen, body fluid other body fluid",3093-2
"urea nitrogen, other fluid body body fluid",3093-2
"flui un body ueanitrogen, other bdy fd",3093-2
"body nitrogn, urea fluid otherbodfluid",3093-2
"urea nitrogen, point in time body fluid other body fluid",3093-2
eosinophils ascites,30380-0
eosinopil ascits,30380-0
eosinophils ascites,30380-0
percent eosinophils ascites,30380-0
ascites leuk eosinophils,30380-0
"cd8 cells, percent blood",8137-2
"percent cells, cd8 blood",8137-2
"blood cells, percent cd8",8137-2
"cels, d8 pecntblod",8137-2
"cells, cd8 percent blood",8137-2
cd45 bone marrow,51340-8
cd45 bone marrow,51340-8
cd45 bonemarrw,51340-8
cd5 marrow bone,51340-8
bone cd45 marrow,51340-8
"phenytoin, percent free blood",10548-6
"phenytoin, perentfee blood",10548-6
"mass fraction phenytoin, percent free blood",10548-6
"non-protein bound phenytoin, percen free lood",10548-6
"percent phenytoin, free diphenylhydantoin blood",10548-6
iron stain bone marrow,13513-7
iron stn stain bone marrow,13513-7
stain iron bone marrow stains,13513-7
iron bone stain marrow,13513-7
bone stain iron marrow,13513-7
immunoglobulin g blood,2465-3
mnolobulin g random lood,2465-3
imunoglobuin g blood,2465-3
immunoglobulin g blood,2465-3
munogluin g blod,2465-3
human chorionic gonadotropin blood,2119-6
human gonadotropin chorionic blood,2119-6
human gonadotropin chorionic blood,2119-6
human chorionic blo quantitative goaotropi,2119-6
human chorionic serpl gonadotropin blood,2119-6
"creatine kinase, mb isoenzyme blood",6773-6
"reatine serplas kinase, mb isoezme blod",6773-6
"creatine kinase, mb ioenzyme ck-2 bloo",6773-6
"creatine kinase, pl isoenzyme mb blood",6773-6
"quant crane inas,mb soenzymeblod",6773-6
"fibrinogen, functional blood",3255-7
"blood fibroen,funtional",3255-7
"functional fibrinogen, blood",3255-7
"fibringen, fnctonal loo",3255-7
"blood functional fibrinogen,",3255-7
eosinophils joint fluid,17834-3
eosinophils joint fluid,17834-3
fluid joint eosinophils wbcs,17834-3
joint eosinophils fluid,17834-3
fluid joint eosinophils,17834-3
cd38 other body fluid,51299-6
body other cd38 fluid,51299-6
cd38 fluid body other,51299-6
cd38 other boy flud,51299-6
body other cd38 fluid,51299-6
hla-dr blood,32621-5
blood hla-dr,32621-5
blood hla-dr,32621-5
blod hla-dr,32621-5
blood hla-dr,32621-5
hypersegmented neutrophils cerebrospinal fluid (csf),26506-6
hypersegmented neutrophils csf (csf),26506-6
(cerebrospinal fluid) utrophils cerebopinal flud ypersegmentd,26506-6
fluid neutrophils cerebrospinal hypersegmented (csf),26506-6
hypersegmented (csf) cerebropinlfluid neutrophil,26506-6
hla-dr bone marrow,51380-4
bone hla-dr marrow,51380-4
ha-dr bonemarrow,51380-4
bone hla-dr marrow,51380-4
marrow bone hla-dr,51380-4
von willebrand factor activity blood,6014-5
von blood factor activity willebrand,6014-5
willebrand von factor activity blood,6014-5
von illebrand actor activity blood,6014-5
on willbrnd activty factor lood,6014-5
ck-mb index blood,20569-0
ck-mb blood index,20569-0
ck-mb blood index,20569-0
serpl index ck-mb blood,20569-0
ck-mb blood ck-mb index,20569-0
polys other body fluid,26518-1
olysotr point in time fluid bdy,26518-1
cell polys othe body flu,26518-1
polys other body fluid,26518-1
polys other body fluid,26518-1
cd11c other body fluid,51232-7
body other cd11c fluid,51232-7
fluid other body cd11c,51232-7
othe cd1c bdy flud,51232-7
cd11c other body flud,51232-7
methemoglobin blood,2614-6
methemoglobin bld,2614-6
methemoglobin blood quant,2614-6
hb bld methemlbin,2614-6
blood methemoglobin,2614-6
hypochromia blood,728-6
hypochromia blood point in time,728-6
hypochromia blood,728-6
blood hypochromia,728-6
hypochromia microscopic bld,728-6
"reticulocyte count, absolute blood",14196-0
"reticulocyte retic absolute count, blood",14196-0
"eticocyte wb count, blood absolute",14196-0
"reticulocyte count, absolute blood",14196-0
"rtculocyt count, absolte blood",14196-0
hypersegmented neutrophils blood,766-6
hypersegmented neutrophils bld,766-6
neutrophils hypersegmented neutrophil blood,766-6
bld neutrohils hyperegmented manl,766-6
hypersegmented bld neutrophils neuts hyperseg,766-6
base excess blood,11555-0
blood excess ase quant,11555-0
bas blod eces calculation,11555-0
excess chemistry base blood,11555-0
bse excess pulmonology bloo,11555-0
factor xii blood,3232-6
factor blood xii,3232-6
xii factor blood,3232-6
blood xii factor,3232-6
blood xii factor,3232-6
d-dimer blood,48065-7
blood d-dimer,48065-7
d-dimer blod,48065-7
blood d-dimer,48065-7
blood d-dimer,48065-7
macrophage other body fluid,12230-9
macrophage othe bdy fuid,12230-9
macrophage other body fluid,12230-9
macrophage body other fluid,12230-9
bf macrophage other body fluid,12230-9
"chloride, stool stool",15158-9
"stool stool chloride,",15158-9
"stool chloride, stool",15158-9
"stool chloride, stool",15158-9
"stool stool chloride,",15158-9
"phosphate, body fluid other body fluid",12242-4
"phospte, ody fu oter boy fluid",12242-4
"phosphate, body fluid other body fluid",12242-4
"phosphate, body fluid other body fluid",12242-4
"phosphate, body fluid other body fluid",12242-4
ph urine,2756-5
urine ph,2756-5
ph urie,2756-5
ur urine ph,2756-5
urine universallaborders ph,2756-5
"chloride, ascites ascites",33366-6
"ascites ascites chloride,",33366-6
"chloride, aites scites",33366-6
"chloride, ascites ascites quan",33366-6
"chlorid, cl- ascites acts",33366-6
spherocytes blood,802-9
micros sherocytes blood,802-9
microscopic sphercyte bood,802-9
blood serctes micro,802-9
sphrocytes bloo spherocyte,802-9
glucose blood,2345-7
bld gluc glucose,2345-7
serp glucose blood,2345-7
level glucose blood,2345-7
blood glucose,2345-7
cd19 other body fluid,17829-3
other cd19 body fluid,17829-3
the d19 body fluid,17829-3
body other cd19 fluid,17829-3
cd19 other fluid body,17829-3
fmc-7 blood,17220-5
fmc-7 bood,17220-5
fmc-7 bod,17220-5
fmc-7 blood,17220-5
blod fmc7,17220-5
hemoglobin c blood,4561-7
hemoglobin hb c bld,4561-7
blood c hemoglobin,4561-7
blood hemoglobin,4561-7
hemoglobin blood c point in time,4561-7
inr(pt) blood,5895-7
inr(pt)blood,5895-7
nrpt) blood,5895-7
blood inr(pt),5895-7
blood inr(pt),5895-7
calcium oxalate crystals urine,5774-5
calcium oxalate crystals urne,5774-5
cacium oxalate crytals urine,5774-5
calcium urine crystals oxalate,5774-5
calcim oxalate urine crstals,5774-5
"urine crystals, other urine",5783-6
"urine crystals, urine other",5783-6
"urine crystals, other rine",5783-6
"urine urine other crystals,",5783-6
urine rystals uin other,5783-6
"potassium, urine urine",2828-2
"otassium, level urine urine",2828-2
"potassium, urine urine ur",2828-2
"potassium, urine qnt urine",2828-2
"urinerine ur potasum,",2828-2
hepatitis b surface antibody blood,5193-8
serum hepatitis b surface antibody blood,5193-8
atiody eia surace hepatitisb bloo,5193-8
hepatitis b surface anibody blod,5193-8
antibody b surface hepatitis blood,5193-8
macrocytes blood,738-5
bld macrocytes,738-5
ood macrocyte,738-5
macrocytes blood,738-5
mcrocytes micro blood,738-5
"sodium, ascites ascites",49790-9
"ascites sodium,ascites",49790-9
"qnt sodium, ascites scites",49790-9
"sodium, asitesascites",49790-9
"ascites ascite sodium, na",49790-9
thrombin blood,3243-3
lood thrombin,3243-3
blood thrombin,3243-3
blood romin,3243-3
throbin bood,3243-3
cd5 bone marrow,35640-2
bone cd5 marrow,35640-2
marrow bone cd5,35640-2
cd5 marrow bone,35640-2
mrrow bone cd5,35640-2
glyco a bone marrow,33208-0
glo  bone marrw,33208-0
a glyco bone marrow,33208-0
bone a glyco marrow,33208-0
glyco a marrow bone,33208-0
bands blood,763-3
bands blood,763-3
blood ct bands,763-3
bands blood,763-3
blood bands,763-3
red blood cells blood,789-8
re cellsblood blood,789-8
red cells blood whole blood blood,789-8
rd ood cells blood,789-8
red blood blood cells quan,789-8
lymphocytes joint fluid,26483-8
lymphocytes joint white bld cells fluid,26483-8
lymphocytes qnt joint fluid,26483-8
fluid lymphocytesjoint,26483-8
lymphocytesjoint fluid leukocyte,26483-8
follicle stimulating hormone blood,15067-2
follile stimulaing sr blood hormon,15067-2
plasma follicle stimulating horone lood,15067-2
follice hormonelood stmulatin,15067-2
follicle stimulating hormone blood universallaborders,15067-2
factor xi blood,3226-8
blood xi factor,3226-8
factorxi blood,3226-8
blod actorxi,3226-8
actor blood x,3226-8
troponin t blood,6598-7
troponin t blood universallaborders,6598-7
troponin sr bld t,6598-7
t troponin bld,6598-7
troponin blood t,6598-7
"rbc, csf cerebrospinal fluid (csf)",26454-9
"rb, csf hematology/cell counts (csf fluid erebrospinal",26454-9
"rbc, count cerebrospinal csf fluid (csf)",26454-9
"spinal fl fluid csf cerebrospinal rbc, (csf)",26454-9
"rbc, red cell csf cerebrospinal (csf) fluid",26454-9
prostate specific antigen blood,2857-1
prostate specific antigen serp blood,2857-1
urology prosate blod angen specfic,2857-1
prostate antigenblood spcic,2857-1
rstate specific antign bloo,2857-1
lactate blood,32693-4
blood lactate,32693-4
blood lactate,32693-4
blood lacate,32693-4
blood lactate 2-hydroxy-propionate,32693-4
acid phosphatase blood,1715-2
acid phosphatase blood,1715-2
acid blood phosphatase,1715-2
acid blood phosphatase,1715-2
i pospatase bld plsm,1715-2
"iron binding capacity, total blood",2500-7
"irn bnding capacity, total bld chemistry",2500-7
"iron mass concentration binding cpacity, totalblood",2500-7
"quantitative ro bindigcaacity, tota bod",2500-7
"total binding capacity, iron blood",2500-7
double stranded dna blood,5130-0
double stranded quant dna bld,5130-0
double dna stranded blood,5130-0
double traded na bld,5130-0
double stranded dna bld,5130-0
cd11c blood,8109-1
bloo cd1c,8109-1
blood cd11c,8109-1
blod cd11c,8109-1
blood cd11c,8109-1
bilirubin crystals urine,5771-1
bilirubin urine crystals,5771-1
crystals bilirubin urine,5771-1
bilirubn rine crystals,5771-1
crystls bilirbin urine,5771-1
"anti-gliadin antibody, iga blood",7893-1
"quant ibody,iga nti-gliadin bld",7893-1
"anti-gliadin blood iga antibody,",7893-1
"anti-gladin ibdy, bloo iga",7893-1
"iga antibody, autoantibodies anti-gliadin blood",7893-1
heparin blood,13055-9
heprn blood,13055-9
blod heparin,13055-9
eparin blood,13055-9
bood heparin,13055-9
"urine casts, other urine",9842-6
"rne casts,oter urine",9842-6
"casts, urine other urine",9842-6
"urine casts, urine other",9842-6
"uine casts, oer rine",9842-6
anti-mc blood,32042-4
anti-mc bld serpl,32042-4
blood anti-mc,32042-4
anti blood anti-mc,32042-4
serp blood anti-mc,32042-4
alkaline phosphatase blood,6768-6
alkaline bod phosphatase,6768-6
phosphatase alkaline blood,6768-6
phosphatase alkaline blood,6768-6
bloo phosphatase alkalie alkaline phosphatase.total,6768-6
"ld, body fluid other body fluid",2529-6
"ld, bodies body fluid other body fluid",2529-6
"ld, bod flui othr body flud l-lactate dehydrogenase",2529-6
"ld,body fuid oher fluid ody",2529-6
"ld, body fluid, unsp ody fluid other bo fluid",2529-6
"cocaine, urine urine",3397-7
"cocaine, qualitative urine urine",3397-7
"urine urine cocaine,",3397-7
"cocaine, urine urine",3397-7
"coine, rine urne potentialforabuse",3397-7
cd4/cd8 ratio blood,8129-9
d4/cd raio blood,8129-9
ratio cd4/cd8 blood,8129-9
blood ratio cd4/cd,8129-9
cd4/d8 atio lood,8129-9
"protein c, functional blood",27818-4
"functional c, protein blood",27818-4
"protein functional c, blood",27818-4
"protin c, uncinal blood",27818-4
"blod c, funcional rotein",27818-4
"potassium, body fluid other body fluid",2821-7
"potassium, body fluid other body fluid flu",2821-7
"potassium, body fluid other body k+ fluid",2821-7
"potssium, potass body body fluidother flui",2821-7
"potassium, bdy flud othr quan body flui",2821-7
wbc count blood,26464-8
blood count wbc,26464-8
blood count wbc,26464-8
absolute wbc count blood,26464-8
wbc count blood,26464-8
hemoglobin blood,718-7
blood hemoglobin,718-7
hmoglobi bood,718-7
lood hemoglobi,718-7
loo hgb hemoglobin,718-7
cd16/56 other body fluid,18268-3
d16/56 other body lui,18268-3
d16/6 ote body fluid,18268-3
c16/5 other bod flid,18268-3
fluid other body cd16/56,18268-3
hla-dr other body fluid,51381-2
boy other la-dr fluid,51381-2
other hla-dr body fluid,51381-2
ha-dr other ody fluid,51381-2
oterbodyluid hla-d,51381-2
"bilirubin, total blood",1975-2
"blood tota bilrubin,",1975-2
"bilirubi, blood universallaborders tota",1975-2
"bilirubin, total blood serpl",1975-2
"bilirubin, heme total blood",1975-2
bands other body fluid,26510-8
neutr bands other body fluid,26510-8
bas othr body fluid,26510-8
othebody bands fluid,26510-8
bands boy neut ther flud,26510-8
lymphocytes blood,731-0
lymphocytes lymphs% bld,731-0
blood lymphocytes,731-0
lymphctes blood,731-0
lmphocytes blood,731-0
nrbc joint fluid,48040-0
nrbc fluid erythroblasts joint,48040-0
fluid joint nrbc,48040-0
nrbc jont fluid,48040-0
joint nrbc fluid,48040-0
"magnesium, body fluid other body fluid",29365-4
"magnesiu, body luid othr ody fluid",29365-4
"magnesium, other flui boy body fuid",29365-4
"magnesium, body fluid other body fluid",29365-4
"magnesim, body fluidothr bod flui",29365-4
"chloride, whole blood blood",2069-3
"chloride, whole quan bld bld",2069-3
"chlorde, whol bloodblood blood",2069-3
"whole chloride, blood blood",2069-3
"chloride, whle blood quan bloo",2069-3
"triglycerides, pleural pleural",9619-8
"trigcerides,pleuralpleural mass concentration",9619-8
"triglycerides, qnt leurl pleural",9619-8
"trig pleralpleual trigycerides,",9619-8
"triglyceride, pleural pleural random",9619-8
"sodium, body fluid other body fluid",2950-4
"soum, ody fluid othr bod fluid fluid",2950-4
"otherbody boyfuid sodium, fuid b/f",2950-4
"sodium, body fluid other quantitative body fluid",2950-4
"body body fluid other sodium, fluid",2950-4
"total protein, joint fluid joint fluid",2886-0
"tal proei, oint fluid oint fluid",2886-0
"ttal protein, joint fuid joit fluid",2886-0
"total protein, joint fluid joint fluid",2886-0
quantitative fuid joint lid joint totalprote,2886-0
"protein s, functional blood",31102-7
"protein s, blood functioal",31102-7
"pten s, funciona blood",31102-7
"protein functional s, blood",31102-7
"protein s, blood nctiol",31102-7
"wbc, csf cerebrospinal fluid (csf)",26465-5
"wbc, cerebrospinal csf fluid (csf)",26465-5
"wbc, csf quan csf (csf)",26465-5
"csf wbc, csf (csf)",26465-5
"wbc, (csf) cerebrospinal fluid csf",26465-5
mesothelial cells cerebrospinal fluid (csf),30429-5
mesothelia cells cerebrospina luid (csf),30429-5
mesothelial cells (csf) fluid cerebrospinal,30429-5
mesothelial cells fluid cerebrospinal (csf),30429-5
mesothelial fluid cebrospinl cells (cerebrospinal fluid),30429-5
blood urine,5794-3
urine blood,5794-3
urine blood,5794-3
urine blood,5794-3
urine blood,5794-3
hepatitis a virus igm antibody blood,22314-9
heatitis anibod iru igm a bood,22314-9
hepatitis avirus igantibod blod,22314-9
hepatitis a virus igm antibody id blood,22314-9
hepatitis blood virus igm antibody a,22314-9
anion gap blood,1863-0
blood gap anion,1863-0
blood ga anion,1863-0
anion gap blood quan,1863-0
anion ag gap bld,1863-0
monocyte count blood,26484-6
count monocyte count blood,26484-6
count/volume mnocyte count blo,26484-6
monocyte count blood,26484-6
count monocyte blood,26484-6
mch blood,785-6
blood mch electr,785-6
mch elec blood,785-6
mch hb bloo,785-6
bld mch haemoglobin,785-6
"amylase, joint fluid joint fluid",14388-3
"amylase, jont fluid join fluid",14388-3
"amylase, joint aspirate fluid joint joint fluid",14388-3
"amylase, joint fluid joint fluid",14388-3
"amylas, joit fluid uid joint syn",14388-3
cd103 bone marrow,51221-0
marrw cd103bone,51221-0
cd103 marrow bone,51221-0
cd103 marrow bone,51221-0
marrow bone cd103,51221-0
24 hr calcium urine,6874-2
urine hr calcium quant 24,6874-2
hr 24 clcium urine,6874-2
24 hr urine calcium,6874-2
24 mrate hr calcium urine,6874-2
leukocytes urine,5799-2
urine leukocytes,5799-2
uine leukoytes,5799-2
uine eukocytes,5799-2
leukcytes urine,5799-2
theophylline blood,4049-3
theophylline blood,4049-3
blood theophylline theo-dur,4049-3
theophylline quan bld,4049-3
hephylline bood,4049-3
pco2 blood,11557-6
blood lung pco2,11557-6
pco2 blood,11557-6
blood pco2,11557-6
blood pco2,11557-6
wbc casts urine,5820-6
casts wbc urine,5820-6
urine casts wbc,5820-6
wbc urine casts,5820-6
casts wb urine,5820-6
"chloride, body fluid other body fluid",2072-7
"chloride, body fluid fluid body other",2072-7
"horide, ody quantitative bodyfluidote flui",2072-7
"oy ody fluid oher chlorid, fluid",2072-7
"chloride, body fuid othr boy fluid qnt",2072-7
"osmolality, urine urine",2695-5
osmolality urine urine,2695-5
"osmolliy, urine rine",2695-5
"osmolality, urine urine",2695-5
"urine urine osmolality, urn",2695-5
ethanol blood,5642-4
etoh etanl blod,5642-4
thanol blood,5642-4
lood qual ethanol,5642-4
alcohol ethanol bood,5642-4
lactate dehydrogenase (ld) blood,2532-0
2-hydroxy-propionic acid lactate dehydrogenase (ld) blood,2532-0
lacate deydrogenase (ld) bood,2532-0
(ld) dehydrogenase lactate blood,2532-0
lactte dehyrogenase (ld) blood,2532-0
cortisol blood,2143-6
blood cortisol,2143-6
cortisol blood cort,2143-6
cortiol serum blod,2143-6
blood cortisol,2143-6
macrophage cerebrospinal fluid (csf),30426-1
random macrhae cerebrospina (csf) fluid,30426-1
(csf) cerebrospinal fluid macrophage,30426-1
macrophage cererospinalfuid (csf),30426-1
(csf) cerebrospinal fluid macrophage,30426-1
thyroid peroxidase antibodies blood,8099-4
serology thyroid peroxidase antibodies blood,8099-4
hyroid peroxidase antiboiesbod,8099-4
thyroid peroxidase antibodies blood aby,8099-4
thyroid blood antibodies peroxidase,8099-4
acanthocytes blood,7789-1
blood acanthocytes,7789-1
acanthocytes blood whole blood,7789-1
bood acanthocytes ql,7789-1
acanthocytes blood,7789-1
young cells blood,51633-6
ells oung blood young platelets,51633-6
young cells blood blood,51633-6
young cls blod,51633-6
quantitative blood cells young,51633-6
hepatitis a virus antibody blood,5183-9
hepatitis a autoantibodies virus antibody blood,5183-9
virus a hepatitis antibody blood,5183-9
hepatitis abs a virus antibody bld,5183-9
virus a hepatitis ntibody iaa blood,5183-9
nonsquamous epithelial cell urine,41284-1
nonsquamous urne cel epithelia,41284-1
nonsquamous cell epithelial urine,41284-1
nonsquamous epithelial urine cell,41284-1
nonsquamous urine cell epithelial,41284-1
ammonium biurate urine,12454-5
urine birae ammoum,12454-5
amonum birate urne,12454-5
ammonium biurae urine,12454-5
ammoium biurate urne,12454-5
"ld, joint fluid joint fluid",2533-8
"ld, fluid fluid joint joint",2533-8
"l-lactate ld, fluid fluid joint joint",2533-8
"fuid joint ld,ointflud catalytic concentration",2533-8
"fluid joint ld, joint fluid",2533-8
creatinine clearance urine,33558-8
creatinine urine clearance,33558-8
creatinine learance uie quant,33558-8
urine ua cratnineclearnce,33558-8
urine learane cretine,33558-8
tidal volume blood,20112-9
volume tidal blood,20112-9
tidal volume blood,20112-9
tdal volume bloo,20112-9
blood volume tidal,20112-9
basophils pleural,35070-2
basphils pleural thoracentesis fluid,35070-2
basophlslura,35070-2
pleural basophils pleural,35070-2
quan bsophil pleural,35070-2
urine color urine,5778-6
coor urine urine,5778-6
color urine urine,5778-6
urine urine color,5778-6
urine urine color,5778-6
"calcium, total blood",2000-8
clciu total blod,2000-8
"calcium, ttal bod",2000-8
"quan calcium, blood total",2000-8
"calcium, totalblood",2000-8
valproic acid blood,4086-5
acid valproic bld,4086-5
lod aid valproic,4086-5
blod pl cid valproic,4086-5
acidblood valproi,4086-5
hyphenated yeast urine,41865-7
urine hypenatedyeast,41865-7
hyphenated urine yeast,41865-7
yeast hyphenated urine,41865-7
urne yeast hypheated,41865-7
cd3 other body fluid,17826-9
cd3 ther body fluid,17826-9
other cd3 body fluid,17826-9
other cd3 body fluid,17826-9
cd3 oter body fluid,17826-9
basophils joint fluid,17833-5
basophils joint fluid,17833-5
basophils jit flud quan,17833-5
fluid joint basophils,17833-5
basophils joint fld joint fluid,17833-5
mchc blood,786-4
qnt blod mchc,786-4
quan mchc blood,786-4
mchc red blood corpusles blood,786-4
blod electr cc,786-4
cd15 other body fluid,51252-5
cd15 body other fluid,51252-5
cd15 othr body fluid,51252-5
cd15 other fluid body,51252-5
cd15 fluid body other,51252-5
<albumin> cerebrospinal fluid (csf),1746-7
<lbumin> fuid crebrospinl (sf) universallaborders,1746-7
<abumin> cerebrospinal fluid (csf),1746-7
spinal fld albi>cerebrospinal fluid cf),1746-7
spinal fl <albumin> csf (csf),1746-7
cd22 blood,14017-8
blood d22,14017-8
blood cd22,14017-8
cd22 blood,14017-8
blood cd22,14017-8
"glucose, urine urine",2350-7
"random glucose, urine urie",2350-7
"glucose, urine urine quan",2350-7
"urn glucse, urie rine",2350-7
"urine urine glucose,",2350-7
hemogloblin a blood,10346-5
a qnt hemogloblin bld,10346-5
hemogloblin a blood,10346-5
blood a hemogloblin,10346-5
a hemogloblin bood,10346-5
"protein c, antigen blood",27820-0
"protein blood antigen c,",27820-0
"protei c, antigen blood",27820-0
"protein antigen c, blood",27820-0
"protein c, blood antigen",27820-0
serum viscosity blood,3128-6
viscosity serum blood,3128-6
erm viscost blood,3128-6
viscosity serum blood,3128-6
sru vscosity blood,3128-6
leukocyte alkaline phosphatase blood,4659-9
leukocyte alkaline blood phosphatase,4659-9
alkaline leukocyte phosphatase blood,4659-9
leukocyte alkaline phosphatase blood,4659-9
eukocyte phosphatae alkaline blood,4659-9
procainamide blood,3982-6
prcainmde bld,3982-6
procainamide serum or plasma bood,3982-6
procainamide ood,3982-6
pocaamie qnt bld,3982-6
"albumin, pleural pleural",1748-3
"albumin, pt pleural pleural",1748-3
"pleural abumin, plura",1748-3
"albumin, pleural pleural",1748-3
"plera lbumin, pleural",1748-3
cd13 blood,8110-9
blod cd13,8110-9
blood cd13,8110-9
blood cd13,8110-9
blood cd13,8110-9
"potassium, whole blood blood",6298-4
"blood whole potasium, blood",6298-4
"potassium, blood blood whole",6298-4
"potassium, blood blood whole",6298-4
"potassium, whole bld bld wb",6298-4
"creatinine, ascites ascites",12191-3
"ascites ascites creatinine,",12191-3
"prt creatinine, ascites ascites",12191-3
"ascites ascites creatinine,",12191-3
"ascites ascites creatinine,",12191-3
free calcium blood,1994-3
blood calcium free,1994-3
blood calcium free substance concentration,1994-3
free calcium blood,1994-3
free calcium blood level,1994-3
"wbc, joint fluid joint fluid",26469-7
"wbc, joint fluid fluid joint",26469-7
"wbc, fluid joint joint fluid random",26469-7
"wbc, joint fluid joint fluid",26469-7
"syn wbc, joint fluid jin fluid",26469-7
"lactate dehydrogenase, csf cerebrospinal fluid (csf)",2528-8
"lactate dehydrogenase, csf csf (csf) random",2528-8
"lactate chemistry csf dehydrogenase, cerebrospinal fluid (csf)",2528-8
"lactate dehydrogenase, csf cerebrospinal (csf) fluid",2528-8
"lactate dehydrogenase, csf csf (csf)",2528-8
"pep, csf cerebrospinal fluid (csf)",24352-7
"prot elph pnl pep, csf cerebrospinal fluid (csf)",24352-7
"pep, flid cerebrospinal cerebrospinal fluid (cerebrospinal fluid)",24352-7
"pep, fluid cerebrospinal cerebrospinal fluid (cerebrospinal fluid)",24352-7
"pep, csf csf fraction (csf)",24352-7
"cholesterol, body fluid other body fluid",12183-0
"cholesterol, body fluid other body quant fluid",12183-0
"cholesterol, body body choles other fluid fluid",12183-0
"chemistry cholesterol, body fluid other body fluid",12183-0
"cholesterol, body fluid other body fluid",12183-0
rheumatoid factor blood,6928-6
rheumatoid blood enzyme immunoassay factor,6928-6
rheumatod faco blood,6928-6
factor rheumatod lood,6928-6
fac rheumatoid factor blood,6928-6
"cholesterol, pleural pleural",9618-0
"choleserol, pleural peural",9618-0
"pleural pleural cholesterol,",9618-0
"pt cholesterol, pleural pleural",9618-0
