anticadiolin antibdy ig blood|anticardiolipin igg antibody blood|body other cd7 fluid
bone cd3 mrrow|cd3 one marrow|marrow bone cd8
blood mch electr|bld mch haemoglobin|burr micro cells lood
ql prep heinzbo lood|heinz qualitative body prep blood|sex bindng hormoe globulinbood
fluid neutrophils cerebrospinal hypersegmented (csf)|hypersegmented (csf) cerebropinlfluid neutrophil|ascites sodium,ascites
actor blood x|blood xi factor|cd7 bone marrow
lymphs% aticalymphocytes plural|pleural lymphocytes atypical|ovaoctesblod
urine urine osmolality, urn|osmolality urine urine|factor x blood
blood roteinlectroporesis|protein electrophoresis blood|factor x blood
blasts csf (csf)|cerebrospinal fluid spinal fl cerbrosinafluid blasts|beta-2 microglobulin blood
blood cd41|blood cd41|folate blood serum
fluid cerebrospinal blasts (csf)|cerebrospinal fluid spinal fl cerbrosinafluid blasts|rine bicar bicrbonte, urine
calculated tbg blood point in time|calculated tbg blood|cd2 other body fluid
cyclosporin bld|bld cyclosporin random|po2, odyflidother oy fluid quantitative
urine casts, urine other|rne casts,oter urine|cell polys othe body flu
macrophage other body fluid|macrophage othe bdy fuid|blood serum closorin
glucose, body body other fluid fluid fl|chemistry glucose, oy flui other by fluid|t troponin bld
bone cd23 marrow|bone cd23 marow|microcytes ordinal blood
vancomycin blood|bld vancomycin|blirubin, total, bod fluid othr body fluid
blood roteinlectroporesis|electrophoresis protein pan blood|absolute count cd8 blood
fluid other body cd7|c7 other body fluid|nrbc jont fluid
cholesterol, ldl, measuredblood serplas|cholesterol, ldl, measured blood|billirubin bilirubin,indirect blood
theophylline quan bld|theophylline blood|blood oxyen
triiodothyronine (t3) blood|(t3) triiodothyronine blood|chemistry blod tbg calculated
bone cd14 marrow|bone cd14 marrow|lactate blood
non-protein bound phenytoin, percen free lood|mass fraction phenytoin, percent free blood|blood calcium free substance concentration
pleural basophils pleural|basphils pleural thoracentesis fluid|pleural rbc, pleural
macrophage cererospinalfuid (csf)|random macrhae cerebrospina (csf) fluid|plasma blood cells
phenytoin blood|phnytoin blood|sickle preparation ordinal cell blood
wb smear araite bld bld|parasite bld smear bld|blood percent lymphocytes,
anti-parietal cell antibody blood trf|anti-parietal cell antibody blood|trichomonas urine
serum ntprobnp loo|pept ntprobnp blood|procainamide serum or plasma bood
blod electr cc|mchc red blood corpusles blood|bodies fat urine urine
parasite bld smear bld|bld parasite smear bld identity or presence|cd4/d8 atio lood
cd15 blood|blood d15|urine wbc
hepatitis b virus core antibody blood|hepatitis b virus enzyme immunoassay core antibody blood|macropages quant pleural
microcytes blood|blod microcytes|gamma glutamyltransferase bld
blood polychromasia|whole blood polychromasia blood|fluid other body cd7
24 hr creatnine urine mrate|24 hr creatinine urine|chemistry cholesterol, body fluid other body fluid
factor ix blood|factor blood i|iron stain bone marrow
porphobilinogen qualitative screen urine|pophbilinogn urine cren heme|h/o smear blod
sex blod plsm gloulin hormonebining|sex bindng hormoe globulinbood|nrbc cerebrospinal fluid (csf)
cd41 bone marrow|marrow bne cd41|eosinopil ascits
polys granulocyte pleural|pleural polys leuk|cd5 other body flid
aio uptake blood|ratio uptake blood|eparin blood
pep, csf csf fraction (csf)|prot elph pnl pep, csf cerebrospinal fluid (csf)|pleural bicarbonate, pulmonology pleural
flui polysjoint|polys fld joint|f hemoglobin blood pt
anti-smooth muscle antibody blood|anti-smooth antby muscle blood antibody|joint aspirate cratinine jintfuid fluid joint
quan iron blood|iron blood|ovalocytes blood
quan mchc blood|mchc red blood corpusles blood|urine phosphate crystals triple
prot. electrophoresis, urine urine|renal prot. electrophoresis, urine urine|burr micro cells lood
glucose bld whole bld|bld glucose quan|urine sperm
immunoglobulin m blood|bld m immunoglobulin|polychromasia point in time blood
urine crystals, other rine|urine crystals, urine other|marrow boe cd3
urea nitrogen, urine urine|urea nitrogen, urine urine|cholesterol, ascites ascites
blod ganulocytecount|ct cuntblod granlocte|marrow bone cd10
d16/56 other body lui|cd16/56 other body fluid|cyclosporin ciclosporin bld
eosinophils blood|blood eosinophils|creatinine, level fluid fluid joint joint
tissue transglutaminase ab, iga blood|tiss transgluaminasab, iga blood|length of urine collection urine
bood heparin|heprn blood|benzodiazepine blood screen
gastrin blood|quan gatrin blood|thoracentesis fluid myas, lerl pleral
ascites macrophage|macrphageasctes|blod cd13
lactate dehydrogenase, csf cerebrospinal fluid (csf)|lactate chemistry csf dehydrogenase, cerebrospinal fluid (csf)|pep, csf csf fraction (csf)
cerebrospinal fl myelocytes cerebrospinalfld (cf)|cerebospinafluid(csf) leuc myelocytes|ascites ascites creatinine,
uric acid urine crystals|urine acid crystals uric|reticulocyte con, manual lod
albumin, pt pleural pleural|plera lbumin, pleural|hypochromia blood point in time
virus a hepatitis antibody blood|hepatitis a virus antibody blood|rystals amorphous urine
macroovalocytes blood|blood macroovalocytes|c16/5 other bod flid
hcg, ualitative urine, urin|qualitative urine, hcg, urine|urine blood
ph bld|ph blood|thanol blood
blood v factor|facor  blood|cd2 bone arow
bld hormone parathyroid|parathyroid hormone blood|cd8 absolute count blood
2-hydroxy-propionic acid lactate dehydrogenase (ld) blood|lactate dehydrogenase (ld) blood|methemoglobin blood quant
immunofixation blood|blood ife immunofixation|blood cd59
horide, ody quantitative bodyfluidote flui|chloride, body fluid fluid body other|free calcium blood
carbonic anhydride other fluid bicarbonate,other body fluid|bicarbonate, other fluid other body fluid|hemogloblin a blood
pco2 blood|blood lung pco2|methadone, ordinal urine urine
bloo cd1c|blod cd11c|lympocytes random oter body uid
mass fraction phenytoin, percent free blood|non-protein bound phenytoin, percen free lood|inr(pt)blood
protein s, blood nctiol|pten s, funciona blood|potassium, blood blood whole
fluid joint basophils|basophils jit flud quan|potassium, blood blood whole
blood cell sickle cells preparation sickle|sickle preparation ordinal cell blood|factor xii blood
myelocytes other body fluid|fluid other body myelocytes|cd11c other body fluid
nrbc cerebrospinal fluid (csf)|nrbc cerebrospinal fluid (csf)|schistocytes blood
troponin t blood|troponin sr bld t|urine casts, urine other
osmolliy, urine rine|osmolality urine urine|phosphate, body fluid other body fluid
hemogloblin a blood|a hemogloblin bood|reticulocyte count, automated blood
body other quantitative lymphocytes fluid|lympocytes random oter body uid|bodies pappenheimer blood
ascites leuk eosinophils|percent eosinophils ascites|lymphocyes oter ody fluid
anion gap blood|blood gap anion|cholesterol, ldl, measured blood
d10 marrow bone|bone cd10 arrow|bicarboate, urnurine
cd4/cd8 body other ratio fluid|cd4/cd8 ratio other body fluid|protein functional c, blood
creatine blood (ck) kinase|(c)blo kinase cratine qnt|hormnbinding sex globulin glob blood
bone cd19 marrow|cd19 bonemarrow|tota protein, ascites ascites quan
platelet count blood|blood plateletcout random|ntprobnp blood
cd22 blood|cd22 blood|bld parasite smear bld identity or presence
heparin blood|heprn blood|reatiine, pleural leural
red cells blood whole blood blood|red blood cells blood|amorphous crystals urine
blood centromere|blood fa centromere|hemosiderin urine ur
protein s, blood nctiol|pten s, funciona blood|urine wbc
marrow bone hla-dr|ha-dr bonemarrow|qnt sodium, ascites scites
urine specimen urine type|urne spemen type urne|reptilase time blood
sickle preparation ordinal cell blood|ql prearation cell sick blood|sodium, body quan body other fluid fluid
eparin blood|heprn blood|cyclosporin ciclosporin bld
rheumatoid blood enzyme immunoassay factor|factor rheumatod lood|creatine kinase, mb ioenzyme ck-2 bloo
blood cd10|cd0 blood|hyroid peroxidase antiboiesbod
facor  blood|blood v factor|anticardiolipin blood igg antibody
nt-nuclear tibodyblood|antinuclar blood ntibody antby|urne bilirbin
cholesterol, body body choles other fluid fluid|cholesterol, body fluid other body fluid|urine color urine
marrow bone cd15|bone cd15 marrow|pleural polys grans
cd33 body othe fld|oter cd3 body flud|urine fat bodies ordinal urine
blood a hemogloblin|hemogloblin a blood|tyrosine crytals rin
pleural bicarbonate, bicar pleural|pleural pleural bicarbonate,|rbc urin
creatinine, ascites ascites|ascites ascites creatinine,|creatinine learance uie quant
imunoglobuin g blood|munogluin g blod|osmolality, measured blood
sperm urine|urine sperm|cd3 other body fluid
trichmonas urine qualitative|trichomonas rin|ck-mb blood index
protein total bloo|total protein, blood pt|stool stool chloride,
mch elec blood|blood mch electr|bicarbonate, urine urine
fat fe urine|urine at fre|cd10 bone marrow
blood cd13|blood cd13|lactate dehydrogenase, ascites lactic acid ascites
human chorionic serpl gonadotropin blood|human gonadotropin chorionic blood|sodium blood
bld aminotrnsferase (alt) alanie|blood aminotransferase serum (alt) alanine|non-squamous epithelial urine cells
cortiol serum blod|blood cortisol|eosnophilscerebrospinal spinal flu (csf) fli
osmolality, ascites ascites|random osmlality, ascitsascites|clumps platelet blood
urine color urine|color urine urine|fluid joint basophils
cholesterol ratio (total/hdl) blood cardiology|holesterol rati tot/hl) blood|cholesterol, ascites ascites
urineurie calcium, ur|calcium, substance concentration ine uri|mesothelial fluid cebrospinl cells (cerebrospinal fluid)
absolute lymphocyte count blood lympho|abslute lymphocyte coun blood|blood cd56
cd41 bone marrow|marrow bne cd41|hdl cholesterol, blood
potassium, bdy flud othr quan body flui|potassium other body fluid|polys pleural
cd16 blood|cd16 blood|reticulocyte count, automated blood
blood a hemogloblin|hemogloblin a blood|thyroglobulin bld serp
blood neutrophils|neutrophils blood|envelope blood cells
blood volume tidal|tdal volume bloo|von willebrand factor activity blood
osmolality, universallaborders blood measured|blood measured osmolality,|nrpt) blood
mchc blood|blod electr cc|cancer antigen 27.29 blood sr
immunofixation blood|bod imunofixation|fuid boy calcium, other body fluid
qnt blod mchc|mchc blood|cd3 bone marrow
plasma pleural cells|plasma cells pleural hematology/cell counts|aio uptake blood
pleura mesothelilcells|mestelial ells pleural|urine glucose
cd5 other bdyfluid|cd5 other body flid|cd64 bone marrow
hormone parathyroid blood|parathyroid hormone blood|cells envelope blood
pleural macrophages qnt|pleural macrophages quant|bld immunofixation
myelocytes body other fluid|myelocytes quant other flui body|cd45 bonemarrw
calcium phosphate urine crystals|calcium crystals phosphate urine|blood measured osmolality,
bld neutrohils hyperegmented manl|neutrophils hypersegmented neutrophil blood|cd33 ther bod fluid
anti-gliadin antibody, iga blood|anti-gladin ibdy, bloo iga|cd5 other bdyfluid
cd5 other body fluid|cd5 other body flid|24 hr calcium urine
protein antigen c, blood|protein c, antigen blood|blood bicarbonate
hepatitis c hepatit antibody virus bld|hepatitis c virus antibody blood|blood vancomycin
osmolality, body flu fluid other body fluid|osmolality, body fluid other body fluid|transitional eithelial cells urne
casts wbc urine|urine casts wbc|urn glucse, urie rine
blood ii factor|factor ii blood|parathyroid hormone blood
albumin/creatinineurine protein.albumin rine|albumin/creatiine, urine urine|mesothelial cells (csf) fluid cerebrospinal
ntprobnp blood random|ntprobnp blood|ph point in time blood
parasite bld smear bld|wb smear araite bld bld|bone cd45 marrow
hypersegmented (csf) cerebropinlfluid neutrophil|(cerebrospinal fluid) utrophils cerebopinal flud ypersegmentd|anti-parietal cell antibody blood trf
blood wb white cells bood|white bld count bld cells|monos pleural
urine volume urine|urine volume urine|phother fluid body
d-dimer blood|d-dimer blod|macrocytes blood
pept ntprobnp blood|ntprobnp lood brain natriuretic peptide|cd45 other body fluid
basophlslura|basphils pleural thoracentesis fluid|cd22 other body fluid
blood count wbc|wbc count blood|anti-smooth muscle antibody blood
cholesterol, body body choles other fluid fluid|cholesterol, body fluid other body fluid|sugar wte test blood
cd3 bone marro|bone cd23 marow|platelet cont blood
total protein, ascites ascites|ascites protein, total ascites|random ascites lipase, ascites
blood po2|respiratory po2 bld|blood serctes micro
joint creatinine, fluid joint random fluid|creatinine, level fluid fluid joint joint|lacate deydrogenase (ld) bood
factorx lood|blood x factor|rbc asts urn
count count/volume granulocyte bld|granulocyte count blood|hla-dr blood
urine bilirubin|blirubinurine|blod electr cc
count/volume mnocyte count blo|monocyte count blood|metamyelocytes cerebrospinal (cerebrospinal fluid) fluid
protein s, antigen blood|protein s, anigen blod|pleural basophils pleural
chloride, aites scites|chlorid, cl- ascites acts|urine specien type urine
other cd117 body fluid|fluid other body cd117|wb smear araite bld bld
procainamide ood|procainamide blood|urine urn urine myoglobin,
cd33 blood|blood cd33|antibody b surface hepatitis blood
cd41 blood|blood cd41|sodium, bdy fluid other body flui
cd64 bone marrow|onemarrw cd64|lmw heparin, blood
cd22 blood|blood cd22|beta-2 microglobulin blood
billirubin bilirubin,indirect blood|indirect bilirubin, blood|h/o smear blod
gastrin blood|blood gastin|bcarboate, stoo stol
fibrin degradation prduc bood|fibrin degradation products blood|cd11c other body flud
calculated tbg blood|tbgblood qnt calulated|horide, ody quantitative bodyfluidote flui
urea nitrogen, ascites ascites blood urea nitrogen|ea ascites ascitis nitrogen, ascies|macrophage cererospinalfuid (csf)
immunofixation, urine urine|immunofixation, urine urine hematology|benzodiazepine blood screen
glyco a other body fluid|gycoa flud bod othr|cd5 other bdyfluid
blood lactate 2-hydroxy-propionate|blood lactate|basophils fluid cerebrospinal (cerebrospinal fluid)
plasma other body fluid|plasma bf other body fluid|d41 bone marrow
chloride level bld|blood chloride|sru vscosity blood
cholesterol, total blood|colesterl, cholesterols totl bloo|cd138 blood
products degradation fibrin blood|fibrin degradation products blood|blood cd20
protein, total blood|protein total bloo|phenytoin, percent free blood
lymphocytes other body fluid quant|lympocytes random oter body uid|creatinine, pleural pleural
anticardiolipin blood igg antibody|anticadiolin antibdy ig blood|blood cell antibody anti-parietal
urine ketone|ketone urine|blood carboxyhemoglobin
blood basophils|basophils blood|eosinophils othrboy fluid
nonsquamous cell epithelial urine|nonsquamous urne cel epithelia|pleural pleural level chloride,
blood ct bands|bands blood|sdium blood
wbc count blood|blood count wbc|immunofixation, urine urine hematology
blood a hemogloblin|a hemogloblin bood|urine fat bodies urine
uric crstals acid urne|uric acid crystals urine|blood tobramycin
cd15 other fluid body|cd15 fluid body other|glyco a otherby fluid
total pleural thoracentesis fluid pleural protein,|point in time tota protein, peural plural|<albumin> cerebrospinal fluid (csf)
bone cd10 arrow|d10 marrow bone|blod folate
sru vscosity blood|viscosity serum blood|double stranded quant dna bld
cd5 other body fluid|cd5 bodyfluid othr|follicle stimulating hormone blood universallaborders
total protein, pleural pleural|protein, total pleural pleural|blasts cerebrospinal fluid (csf)
joint creatinine, fluid joint random fluid|creatinine, joint fluid joint fluid|cholesterol, ascites ascites
cd other body fluid|other cd2 body fluid|mesothelial cells fluid cerebrospinal (csf)
fluid jint macrphage|macrophage fluid macrophage joint|chloride, body fluid fluid body other
acid blood phosphatase|acid blood phosphatase|d16/6 ote body fluid
urea nitrogen, body fluid other body fluid|urea nitrogen, point in time body fluid other body fluid|cholesterol, body fluid other body fluid
amylase, pleural pleural|pulmonology pleural pleural amylase,|sdium blood
blood ptt|blood ptt|trig pleralpleual trigycerides,
reticulocyte retic absolute count, blood|rtculocyt count, absolte blood|von blood factor activity willebrand
cratinine, jont flui joint flui cr|joint creatinine, fluid joint random fluid|bite cells bld
blasts blood|blast blod|i pospatase bld plsm
hyaline urine casts|hyaline urine casts|igm antibody aticardiolipi bloo
serum viscosity blood|viscosity serum blood|albumin/creatiine, urine urine
ob bld estadiol|stradiol bood|ratio uptake blood
blood cd20|blood cd20|transitional eithelial cells urne
von blood factor activity willebrand|von illebrand actor activity blood|cd4/d8 rtio othr body id
ammonium biurate urine|ammonium biurae urine|total protin, acite ascites
fmc7 other body fluid|flud otherbody fmc-|bld, ocut ool
protein c-reactive blood|qnt c-ractve roenblood|volume tidal blood
chemistry cholesterol, body fluid other body fluid|cholesterol, body fluid other body quant fluid|hemoglbin random blood
bilirubin, indirect blood|billirubin bilirubin,indirect blood|theophylline blood
luteinizing hormone blood|luteinizing blood hormone|glucose, urine urine
ferritin blood|blood ferritin|ttal protein, joint fuid joit fluid
basophiscerebrospinal (csf) fluid|basophils fluid cerebrospinal (cerebrospinal fluid)|other cd2 body fluid
po2, bodyfluidother to2 bodyluid|po2, odyflidother oy fluid quantitative|quan calcium, blood total
blood cd20|cd20 blood|wbc, joint fluid joint fluid
lymphocytes qnt joint fluid|lymphocytes joint fluid|cd5 bodyfluid othr
total ascites protein, ascites|total protin, acite ascites|fluid joint ld, joint fluid
cd22 other body fluid|ody other cd22 fluid|enelop bld cells
blood cd19|cd1 blood|blood cd3
cells plasm blod|plasma cells leuc blood|blood cd7
bleedig bood time|bleeding time blood|hematocrit, other fluid other body fluid
enelop bld cells|envelope cells blood|protei c, antigen blood
glyco a other bodyfluid|glyco a other body fluid|absute cd8 coutblood
thoracentesis fluid amylase, pleural pleural|amylase, pleural pleural|cd22 blood
myoglobin, urine urine|urine urn urine myoglobin,|metamyelocytes cerebrospinal fluid (csf)
bilirubin, total, body fluid bod other body fluid|bilirubin, total, body fluid other fluid body|tyrosine crytals rin
whole blood polychromasia blood|polychromasia point in time blood|bld mch haemoglobin
axy casts urine|waxy casts urine|24 hr urine calcium
igm antibody aticardiolipi bloo|anticardiolipin igm antibody blood|tdal volume bloo
cd56 blood|blood cd56|benzodiazepine screen blood
factor blood xii|blood xii factor|albumin/creatinine, urine urine
blood roteinlectroporesis|electrophoresis protein pan blood|mesothelial cells pleural
cd11c blood|bloo cd1c|ck-mb blood index
bon cd4 marw|cd4 marrow bone|osmolality, measured blood
fluid joint eosinophils|joint eosinophils fluid|bone cd23 marow
immunofixaion blod|bld immunofixation|bld serp lipase
blood lung pco2|blood pco2|amylase, joint fluid joint fluid
hyaline urine casts|hyaline casts urine|blood cd20
blood serplas tobraycin|mass concentration blood tobramycin|reainine, random pleral pleurl
creatinine, pleural pleural|creatinine, pleural pleural|fmc-7 bood
white blood cells cerebrospinal eosinophils fluid (csf)|eosnophilscerebrospinal spinal flu (csf) fli|blood xi factor
nrbc cerebrospinal fluid (csf)|fluid cerebrospinal erythrocyte nrbc (csf)|granulocyte count blood
pecil cells blood blood|cells pencil blood|blood ovalocytes
on willbrnd activty factor lood|von blood factor activity willebrand|cancer antigen 27.29 blood sr
esimate gfr (mdrd equation) blood|equation) gfr mdrd estimated bld|cortisol blood cort
lactate blood|blood lacate|immunofixation, urine impressions urine
prot. electrophoresis, urine urine|renal prot. electrophoresis, urine urine|colesterl, cholesterols totl bloo
bicarbonate, other fluid other body fluid|flu bicarbonate, other fluid other body fluid|urine casts wbc
2-hydroxy-propionic acid lactate dehydrogenase (ld) blood|lactate dehydrogenase (ld) blood|uptak ratio bld quantitative
excess chemistry base blood|base excess blood|a qnt hemogloblin bld
bacteria urine|bactriaurine|cholestero, prt ascites ascites
prostate specific antigen blood|urology prosate blod angen specfic|other cd19 body fluid
urine sperm|urine sperm|blood free phenytoin,
bone cd16/56 marrow|cd16/56 bone marrow|ethanol blood
blood tobramycin|blood tobramycin|blood ife immunofixation
virus a hepatitis antibody blood|virus a hepatitis ntibody iaa blood|cd13 blood
methemoglobin bld|methemoglobin blood quant|blood d15
uptake ratio blood|uptak ratio bld quantitative|phosphate, urine urine
pleural bicarbonate, bicar pleural|bicarbonate, pleural pleural|oy ody fluid oher chlorid, fluid
hypochromia microscopic bld|hypochromia blood|lymphocytes pleural
blood gastin|blood gastrin|ceatinine 24hr urin
neutrophils blood|neutrophil bood|rb, csf hematology/cell counts (csf fluid erebrospinal
lymphocytes, percent blood|lymphoctes, blood percet|estimated gfr (mdrd equation) blood gfr
